şarkı sözü;;şarkı adı
"Duman - elleri ellerime 

Seni gördüm göreli şaşırdım
Dolaşırım bi başıma
Seni bildim bileli kaçırdım
Şu aklı başımdan
Seni gördüm göreli şaşırdım
Dolaşırım bi başıma
Seni bildim bileli kaçırdım
Şu aklı başımdan
Elleri ellerime, gözleri gözlerime
Saçları saçlarıma, karışan
Bir sen olsan
Elleri ellerime, gözleri gözlerime
Saçları saçlarıma, karışan
Bir sen olsan
Seni gördüm göreli şaşırdım
Dolaşırım bi başıma
Seni bildim bileli kaçırdım
Şu aklı başımdan
Elleri ellerime, gözleri gözlerime
Saçları saçlarıma, karışan
Bir sen olsan
Elleri ellerime, gözleri gözlerime
Saçları saçlarıma, karışan
Bir sen olsan
Elleri ellerime, gözleri gözlerime
Saçları saçlarıma, karışan
Bir sen olsan
Elleri ellerime, gözleri gözlerime
Saçları saçlarıma, karışan
Bir sen olsan
Elleri ellerime, gözleri gözlerime
Saçları saçlarıma, karışan
Bir sen olsan
Elleri ellerime, gözleri gözlerime
Saçları saçlarıma, karışan
Bir sen olsan";;Duman - elleri ellerime 
"Mor ve ötesi - araf

Kalbin işine bak yüzüne bakamaz
Ağlar durur sen uyurken
Yalnız olamayan böyle mi yapar? dersen anlarım
Aşkın içine bak en güzeline
Hem var hem yok mu bile bile
Adalet yok ya canımı yakar bu sessizlik
Yerimi bilmem
Bilmem ne taraftayım
Sesimi duymam
Ne zamandır araftayım
Aşkın içine bak en güzeline
Hem var hem yok mu bile bile
Adalet yok ya canımı yakar bu sessizlik
Yerimi bilmem
Bilmem ne taraftayım
Sesimi duymam
Ne zamandır araftayım
Yerimi bilmem
Bilmem ne taraftayım
Sesimi duymam
Ne zamandır araftayım
Kimler varmış içimde yoklama yaptım
Deliler çıktı cellatlar bir de şeytanlar
Yerimi bilmem
Bilmem ne taraftayım
Sesimi duymam
Ne zamandır araftayım
Yerimi bilmem
Bilmem ne taraftayım
Sesimi duymam
Ne zamandır araftayım
Araftayım
Araftayım
Kalbin işine bak yüzüne bakamaz
Ağlar durur sen uyurken";;Mor ve ötesi - araf
"Teoman - mavi kuş

Mavi kuş her daim sarhoş
Biraz da bize kızmış
Onun için hiç yüz vermiyor
Oysa güzel şarkıları vardı
Yıldızlara ve denizlere
Ama söylemiyor ki bizlere
Susuyor
Suç işlemiş eller gibi
Perondaki boş trenler gibi
Ucu görülmeyen tüneller gibi
Gel hiç üzülme
Salına salına uç
Ben gelemem ama sen git biraz dolaş
Saksağanın şakası sandılar
Muhabbet kuşları ve papağanlar
Belki de arkadaşındırlar
Kargalar gibi karaladılar
Kırlangıçlar ve serçeler
Bize biraz yalan söylediler
Çok saftık
Zararsız küçük yalanlar gibi
Yağmurdan kaçanlar gibi
Bütün vapurları kaçıranlar gibi
Gel hiç üzülme
Salına salına uç
Ben gelemem ama sen git biraz dolaş
Mavi kuş sanki bir düş
Kaşla göz arasında
Geceyle gündüz ortasında
Sokaklar bile sokaklara kesişir
Gölgeler ki güneşe bağlı
Biz ikimiz de öyleyiz
Ama bilmeliyiz
Ağıramamış aydınlıklar gibi
Kireç tutmuş çaydanlıklar gibi
Hiç sevişmemiş insancıklar gibi
Gel hiç üzülme
Salına salına uç
Ben gelemem ama sen git biraz dolaş
Mavi kuş her daim sarhoş
Biraz da bize kızmış";;Teoman - mavi kuş
"Manga - beni benimle bırak

Al bu dünya, al senin olsun
Benim hiç gözüm yok, hepsi senin olsun
Ama son bir dileğim var senden şu gaybana dünyada
Varını, yoğunu al, hepsini al da
Beni benimle bırak
Beni benimle bu cehennemde
Ruhum senden çok uzak
Yabancıyım senin cennetine
Al bu dünya, al senin olsun
Ne olur benden artık uzak dur
Bir günahım varsa işlediğim, o benim borcumdur
Sen varını yoğunu al, hepsini al da
Beni benimle bırak
Beni benimle bu cehennemde
Ruhum senden çok uzak
Yabancıyım senin cennetine
Beni benimle bırak
Beni benimle bu cehennemde
Ruhum senden çok uzak
Yabancıyım senin cennetine
Beni benimle bırak
Beni benimle bu cehennemde
Ruhum senden çok uzak
Yabancıyım senin cennetine";;Manga - beni benimle bırak
"Yüksek sadakat - kara göründü

Kaç zamandır burdayız bugün ne günlerden
Neden bu gemideyiz evde olmak varken
Deniz yine çıldırmış az evvel uyurken
Tanrı bizi unutmuş gökteki evinden
Doğrusunu söyle bana
Yine yıkılır mıyız bir barda içerken
Bu ne biçim bir fırtına
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
(Kara göründü)
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
Kaç zamandır burdayız bugün ne günlerden
Neden bu gemideyiz evde olmak varken
Deniz yine çıldırmış az evvel uyurken
Tanrı bizi unutmuş gökteki evinden
Doğrusunu söyle bana
Yine yıkılır mıyız bir barda içerken
Bu ne biçim bir fırtına
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
(Kara göründü)
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
Doğrusunu söyle bana
Yine yıkılır mıyız bir barda içerken
Bu ne biçim bir fırtına
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
(Kara göründü)
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi";;Yüksek sadakat - kara göründü
"Şebnem ferah - vazgeçtim dünyadan

Nerde sözler of, nerde yüreğim
Ben de sevdim of, sevmedi bilenim
Ver elini sonsuza
Al beni dünyadan of, kalmadı sevenim
Yürekler alınmaz pulla parayla
Kim yenmiş kaderi duayla
Gelinlik giymeden ışığı görmeden
Bebeğimden önce vazgeçtim dünyadan
Kaderi yenmeden utandım kendimden
Daha sevilmeden vazgeçtim dünyadan
Nerden geldim of, yolculuk nereye
Belki söyler of, sorarsam kadere
Yok sevenim arzuyla
Mezarlar bile küsmüş of, kadınca ölene
Yürekler alınmaz pulla parayla
Kim yenmiş kaderi duayla
Gelinlik giymeden ışığı görmeden
Bebeğimden önce vazgeçtim dünyadan
Kaderi yenmeden utandım kendimden
Daha sevilmeden vazgeçtim dünyadan
Yürekler alınmaz pulla parayla
Kim yenmiş kaderi duayla
Gelinlik giymeden ışığı görmeden
Bebeğimden önce vazgeçtim dünyadan
Kaderi yenmeden utandım kendimden
Daha sevilmeden vazgeçtim
Gelinlik giymeden ışığı görmeden
Bebeğimden önce vazgeçtim dünyadan
Kaderi yenmeden utandım kendimden
Daha sevilmeden vazgeçtim dünyadan";;Şebnem ferah - vazgeçtim dünyadan
"Mor ve ötesi - güneşi beklerken 

Bu bedenler biraz sahipsiz
Biraz da renksiz bugün
Yarın yok, yarın neymiş
Bu sokaklar biraz sahici
Biraz da eşsiz bugün
Yarın yok, yarın neymiş
Aklının ardında neler yatar bilmem
Karanlığın dibi yok oldu sonunda
Hayat ne anlatır neleri gizlerken
Yolunu bilmezsin güneşi beklerken
Dünya bir çadır ve onu kaybettin
Güneşi beklerken
Bu bedenler biraz sahici
Biraz da renksiz bugün
Yarın yok, yarın neymiş, yarın neymiş
Aklının ardında neler yatar bilmem
Karanlığın dibi yok oldu sonunda
Hayat ne anlatır neleri gizlerken
Yolunu bilmezsin güneşi beklerken
Dünya bir çadır ve onu kaybettin
Güneşi beklerken
Hayat ne anlatır neleri gizlerken
Yolunu bilmezsin güneşi beklerken
Dünya bir çadır ve onu kaybettin
Güneşi beklerken";;Mor ve ötesi - güneşi beklerken 
"Teoman - nefes nefese 

Hayat unutursan vardır derken
Burukluğu akar üzerinden
Fırtınalı açık denizdim ben
Sen sakin bir koy ararken
Öğrendik yine de, yaşayarak görerek
Çok sevdik hem de, savaşarak ölerek
Öğrendik yine de, unutarak duyarak
Çok sevdik hem de, sevişerek öldürerek
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Tek başımayım bu güzel değil bu
Hiç özlememişim kendimi
Rutubetimden şişmiş kalbim
Artık açılmıyor bi türlü
Öğrendik yine de, yaşayarak görerek
Çok sevdik hem de, savaşarak ölerek
Öğrendik yine de, unutarak duyarak
Çok sevdik hem de, sevişerek öldürerek
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese
Nefes nefese";;Teoman - nefes nefese 
"Athena - senden, benden, bizden

Hiç bir zaman affetmedin beni
Ben ne çok sevdim seni
Herkese bahset senden, benden, bizden
Defalarca sordum sana, neden?
Cevap vermedin içten
Herkese bahset senden, benden, bizden
Eğer dansetmek istersen kırık kalpler salonunda
Bana hiç bir zaman dönme arkadaşça ya da dostça
Beni gerçekten sevdiysen söyle
Asla hayır deme
Herkese bahset senden, benden, bizden
Eğer dansetmek istersen kırık kalpler salonunda
Bana hiç bir zaman dönme arkadaşça ya da dostça
Beni gerçekten sevdiysen söyle
Asla hayır deme
Herkese bahset senden, benden, bizden
Senden, benden, bizden
Senden, benden, bizden";;Athena - senden, benden, bizden
"Manga - yalan

Elimde saç tokan
Güneş misali mis kokan
Bıraktığın tek parçan
Bir de kocaman bir yalan
Affedilmek istemedin
Nefretimi bekledin
Seni senden başka kimse
Kimse, kimse affedemez
Bazı şeyler için
İyi olmak yetmiyormuş
Sevilmek için, aşk için
İyi olmak yetmiyormuş
Elimde saç tokan
Güneş misali mis kokan
Bıraktığın tek parçan
Bir de kocaman bir yalan
Affedilmek istemedin
Nefretimi bekledin
Seni senden başka kimse
Kimse, kimse affedemez
Bazı şeyler için
İyi olmak yetmiyormuş
Sevilmek için, aşk için
İyi olmak yetmiyormuş
Bazı şeyler için
İyi olmak yetmiyormuş
Sevilmek için, aşk için
İyi olmak yetmiyormuş
Aşk biraz palavradır
Biraz da aşna, aşna fişne
Biraz da yalandandır
Sevmek birisini ömür boyu
Platonik olma değmez ona, yazık sana
Aslında hepsi yalan, yalan dolan, her şey yalan
Aşk sevmek değil yalan, yalan dolan her şey, yalan, yalan dolan
Aşk sevmek değil yalan, yalan dolan her şey, yalan, yalan dolan";;Manga - yalan
"pinhani - beni sen inandır 

Çizdim kendi aklımca
Hayatın resmini
Bi' şey bilmezdim aslında
Karıştırdım tüm renkleri
Hata yaptım tabii
Herkes başka bir şeyden
Kaçırmış kendini
Bazen yaşlı gözlerle
Kabullenmiş gerçekleri
Bazen memnun gibi
Artık çok uzaklaştım
En çok da kendimden
Evden, senden
Göçmen kuşlar gibi
Çok geç kaldığım hâlde
Solmuş resimlerde
Kaç yıl geçmiş
Hâlâ güzel durur
Küçükken çok inanmıştım
Eğer çok istersen
Her şey mümkün
İnanmak zor değil
Hikâyem senle başlardı
Senle devam etsin
Beni seni inandır
Çizdim kendi aklımca
Hayatın resmini
Bi' şey bilmezdim aslında
Karıştırdım tüm renkleri
Hata yaptım tabii
Herkes başka bir şeyden
Kaçırmış kendini
Bazen yaşlı gözlerle
Kabullenmiş gerçekleri
Bazen memnun gibi
Artık çok uzaklaştım
En çok da kendimden
Evden, senden
Göçmen kuşlar gibi
Çok geç kaldığım hâlde
Solmuş resimlerde
Kaç yıl geçmiş
Hâlâ güzel durur
Küçükken çok inanmıştım
Eğer çok istersen
Her şey mümkün
İnanmak zor değil
Hikâyem senle başlardı
Senle devam etsin
Beni seni inandır
Beni sen inandır
Beni sen inandır
Beni sen inandır";;pinhani - beni sen inandır 
"Şebnem ferah - ben şarkımı söylerken 

Vauv
İçimde bir ateş yanıyor
Bedenim dar gelir oldu
Ateşime ister körüklerle gel
İster suyla
İstediğin kadar konuş benimle
İstediğin kadar yalan söyle
Beni ben yapan içimdeki sesleri
Susturamazsın
İçine girdiğin küçük kaygan deliği
Yeni ve büyük bir dünya mı sandın
İstersen bir aynayla yardım edeyim
Ama umursamazsın
Merak etmeden duramıyorum
Geceleri nasıl uyuyorsun
Beni boşver kendine cevap ver
Lütfen bu kez dürüst olur musun
Ben şarkımı söylerken istersen sesi açarsın
İstersen kısıp bunu da yok sayarsın
Kimbilir belki gülümser belki ağlarsın
Yüreğimdeki sesleri susturamazsın
Aah vauv aah
Bir yanım seni hala düşünüyor
Bir yanım sana fena kızgın
Yalnız sen ve ben biliyoruz olanları
Unutturamazsın
Sakın nefret ettiğimi düşünme
Bende böyle duygular barındıramazsın
Geçmiş hiç yaşanmamış gibi davransan da
Baştan yazamazsın
Merak etmeden duramıyorum
Geceleri nasıl uyuyorsun
Beni boşver kendine cevap ver
Lütfen bu kez dürüst olur musun
Ben şarkımı söylerken istersen sesi açarsın
İstersen kısıp bunu da yok sayarsın
Kimbilir belki gülümser belki ağlarsın
Yüreğimdeki sesleri susturamazsın
Aah
Oh oh oh
Aah aah
Aah aah";;Şebnem ferah - ben şarkımı söylerken 
"Mor ve Ötesi - Büyük Düşler
Nedir ki zıplarlar?
Ego tramplenlerinde
Kadınsız, erkeksiz bir şehvet düşünün
Oyundur, oynarlar
Bitmiyor işgalleri
Ben seni oralardan çekip almadım mı?
Bu kadar sert mi?
Cevabın bana
Aşkın öldüğü yerde
Bu kadar mert mi?
Kaosun dili
Aç şu kalbini, söyle
Hayatın gerçek mi?
Nedir ki yıkarlar?
Kırılgan rüyamızı
Işıksız ve renksiz mimarlar düşünün
Oyundur, oynarlar
Bitmesin işgalleri
Uzundu sokaklar, yürümek isterdim
Bu kadar sert mi?
Cevabın bana
Aşkın öldüğü yerde
Bu kadar mert mi?
Kaosun dili
Aç şu kalbini, söyle
Hayatın gerçek mi?
Hayatın gerçek mi?
Gördüm, gördüm, gördüm
Büyük düşler gördüm
Gördüm, gördüm, gördüm
Büyük düşler gördüm
Gördüm, gördüm, gördüm
Büyük düşler gördüm
Gördüm, gördüm, gördüm
Büyük düşler gördüm";;Mor ve Ötesi - Büyük Düşler
"
Yüksek Sadakat - Kara Göründü
Kaç zamandır burdayız bugün ne günlerden
Neden bu gemideyiz evde olmak varken
Deniz yine çıldırmış az evvel uyurken
Tanrı bizi unutmuş gökteki evinden
Doğrusunu söyle bana
Yine yıkılır mıyız bir barda içerken
Bu ne biçim bir fırtına
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
(Kara göründü)
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
Kaç zamandır burdayız bugün ne günlerden
Neden bu gemideyiz evde olmak varken
Deniz yine çıldırmış az evvel uyurken
Tanrı bizi unutmuş gökteki evinden
Doğrusunu söyle bana
Yine yıkılır mıyız bir barda içerken
Bu ne biçim bir fırtına
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
(Kara göründü)
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
Doğrusunu söyle bana
Yine yıkılır mıyız bir barda içerken
Bu ne biçim bir fırtına
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam her şey bitti derken
Gözcü bağırdı tam
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi
(Kara göründü)
Özlenen bir yolcu gibi
(Kara göründü)
Dağılan bulutlar gibi
(Kara göründü)
Çok üşürken ateş gibi
(Kara göründü)
Kavrulurken vaha gibi";;Yüksek Sadakat - Kara Göründü
"Pinhani - Beni Al (Akustik)
Bugünüm yarın olsa, ya da hep yeni baştan
Yaşamak ne güzel olur hiç başlamamışsan
Geriye ne kalırdı, yaşananları atsan
Seni bir daha yaşamak isterim aslında
Beni al kucağına, elini belime sar
Beni almadığın an üşürüm sabaha kadar
Beni al kucağına, elimi beline sar
Beni almadığın an ölürüm beni al
Biraz önce uyurken, seni koynuma aldım
Dudağından öperken uykudan uyandım
Sana böyle uzakken, seni bir daha sevdim
Yanına gelebilsem bir daha dönmezdim
Beni al kucağına, elini belime sar
Beni almadığın an üşürüm sabaha kadar
Beni al kucağına, elimi beline sar
Beni almadığın an ölürüm beni al
Beni al kucağına, üşürüm sabaha kadar
Beni al kucağına, üşürüm sabaha kadar";;Pinhani - Beni Al (Akustik)
"Şebnem Ferah-Mayın Tarlası
Mayın tarlasında dolaşıp durmuşum aşk sanıp da
Herkes arkamdan bağırmış kimseyi duymamışım
Savaş filmlerinde olur ya yaralı yaralı devam etmişim
Sonuna kadar aşk ya yanımdasın sanmışım
Mayın tarlasında yürüyüp durmuşum aşk sanıp da
Tel örgülerde durmamış bir delikten geçmişim
Her şey bana dur demiş kulağım darbe almış duymamışım
Sonuna kadar aşk ya sadece inanmışım
Koşmuşum düşmüşüm kalkmışım
Sevişmek sevmekten gelir inanmışım
Elimden tuttuğunda öyle bir güvenmişim ki
Bize bir şey olmaz sanmışım
Mayın tarlasında bir adam sevmişim aşk sanıp da (aşk sanıp da)
Soyunup korkusuzca çırılçıplak kalmışım
Aşk filmlerinde olur ya işte öyle sevmişim
Sonunda, bedenim sağlam bulunmuş, yüreğim paramparça
Mayın tarlasında dolaşıp durmuşum aşk sanıp da
Herkes arkamdan bağırmış kimseyi duymamışım
Savaş filmlerinde olur ya yaralı yaralı devam etmişim
Sonuna kadar aşk ya yanımdasın sanmışım
Koşmuşum düşmüşüm kalkmışım
Sevişmek sevmekten gelir inanmışım
Elimden tuttuğunda öyle bir güvenmişim ki
Bize bir şey olmaz sanmışım
Mayın tarlasında bir adam sevmişim aşk sanıp da
Soyunup korkusuzca çırılçıplak kalmışım
Aşk filmlerinde olur ya işte öyle sevmişim
Sonunda, bedenim sağlam bulunmuş, yüreğim paramparça
Mayın tarlasında bir adam sevmişim aşk sanıp da (aşk sanıp da)
Soyunup korkusuzca çırılçıplak kalmışım
Aşk filmlerinde olur ya işte öyle sevmişim
Sonunda, bedenim sağlam bulunmuş, yüreğim paramparça";;Şebnem Ferah-Mayın Tarlası
"Duman - Öyle Dertli
Kanar gibi, yaramı dağlarım
Yanar içim, yine de saklarım
Geçmez sözün, bir bana geçmez, gücün yetmez
Koşar gibi, ölüme atlarım
Ezip geçer, yine de kalkarım
Yetmez gücün, bi' bana yetmez
Sözün geçmez, gücün yetmez
Öyle dertli dertli bakma, gören olmaz, gören olmaz
Kalbinden söyler ama, duyan olmaz, duyan olmaz
Öyle dertli dertli bakma, gören olmaz, gören olmaz
Kalbinden söyler ama, duyan olmaz, duyan olmaz
Kaçar gibi, geriye bakmadım
Akıp gider içime gözyaşım
Yetmez gücün, bir bana yetmez
Sözün geçmez, gücün yetmez
Öyle dertli dertli bakma, gören olmaz, gören olmaz
Kalbinden söyler ama, duyan olmaz, duyan olma
Öyle dertli dertli bakma, gören olmaz, gören olmaz
Kalbinden söyler ama, duyan olmaz, duyan olmaz";;Duman - Öyle Dertli
"Mor ve Ötesi -Beyaz
Durduğun yerden devam etsin
Güzel olmasın kesilsin yine
Koş koş kurtul eskit pabuçlarını
Dilimiz eksildi, küçük kaldık
Düştük
Acımız oldu çok oldu
İyi ki oldu iyi ki oldu
Beyaz beyaz dibine dek beyaz
Rüyası insana yalan söyledi
Sadece önce şaşkın
Dibine dek beyaz sonra
İyi ki varsın iyi ki yokum
Gölgem var, iyi ki gölgem var
Bizi yalnız bırakmayan gölge
Sadece önce şaşkın
Dibine dek beyaz sonra
İyi ki varsın iyi ki yokum";;Mor ve Ötesi -Beyaz
"Teoman - Senden Önce Senden Sonra
Bu çığlık çığlığa dalgalar
Ve hüzünlü güzel martılar
Rüzgara çarpıp, çarpıp gelip
Doluyorlar kalbime
Yalnızım uçurum kıyısında
Hayat ve ölüm arasında
Tüm hayatım akıp geçiyor
Ayaklarımın altında
Daha kaç vücut gerekli?
Benim seni unutmama
Senden önce, senden sonra
Senden önce, senden sonra
Daha kaç vücut gerek bana?
Benim seni unutmama
Senden önce, senden sonra
Senden önce, senden sonra
Daha kaç vücut gerek bana?
Benim seni unutmama
Bu çığlık çığlığa dalgalar
Ve hüzünlü güzel martılar
Rüzgara çarpıp, çarpıp gelip
Doluyorlar kalbime
Yalnızım uçurum kıyısında
Hayat ve ölüm arasında
Tüm hayatım akıp geçiyor
Ayaklarımın altında
Daha kaç vücut gerekli?
Benim seni unutmama
Senden önce, senden sonra
Senden önce, senden sonra
Daha kaç vücut gerek bana?
Benim seni unutmama
Senden önce, senden sonra
Senden önce, senden sonra
Daha kaç vücut gerek bana?
Benim seni unutmama
Senden önce, senden sonra
Senden önce, senden sonra
Daha kaç vücut gerek bana?
Benim seni unutmama";;Teoman - Senden Önce Senden Sonra
"Mor ve Ötesi - Cambaz
Ne habersin ne Türk'sün
Seni gören yollara dökülsün
Kul oldun, köle oldun
Kurşun geçirmez cam oldun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Kul oldun, köle oldun
Kurşun geçirmez cam oldun
Cin oldun, adam çarptın
Cellat oldun, kelle uçurdun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Var mısın? Yoksun
Var mısın? Yoksun
İki gözüm, eminim, sen yoksun
Var mısın? Yoksun
Var mısın? Yoksun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Sen yoksun
Sen yoksun";;Mor ve Ötesi - Cambaz
"maNga - Hayat Bu işte
Bazen ben de terk edip, gidebilsem keşke diyorum
İçimde bir İstanbul var ondan vazgeçemiyorum
Belki sen de bir gün, geçersin diye köprülerinden
Yakıp yıkamıyorum, koparıp da atamıyorum içimden
Hayat bu işte
Kanatlanıp gitmek dururken
Dört duvar içinde hap solursun
Yaşamak için bir neden ararken
Ölmek için bulursun
Söyle, taşı toprağı altın olmuş kaç yazar
Delik testi umutlarım, akar altından azar azar
Söyle, neye yarar yaşamak altın bir kafeste
Bir yanım seni beklerken, diğeri bekler ölümü ağır ağır
Hayat bu işte
Kanatlanıp gitmek dururken
Dört duvar içinde hap solursun
Yaşamak için bir neden ararken
Ölmek için bulursun
Hayat bu işte
Kanatlanıp gitmek dururken
Dört duvar içinde hap solursun
Yaşamak için bir neden ararken
Ölmek için bulursun
Kanatlanıp gitmek dururken
Dört duvar içinde hap solursun
Yaşamak için bir neden ararken
Ölmek için bulursun";;maNga - Hayat Bu işte
"Pinhani - Sevmekten Usanmam
Umutsuz olduğu bir anda sevmek, ister her insan
Birazcık şanslıysan neden olmasın
Kendinden emin değilsen, sevme
Bensiz mutluysan
Hep öyle kal
Eğer her gece yattığında
Büyülü düşler sana
Benden bahsediyorsa
Hemen tatlı uykundan uyan
Çünkü ben hiç uyuyamam
Seni düşündüğüm zaman
Ben ki sevmekten hiç usanmam
Umutsuz olduğu bir anda sevmek, ister her insan
Birazcık şanslıysan neden olmasın
Kendinden emin değilsen, sevme
Bensiz mutluysan
Hep öyle kal
Eğer her gece yattığında
Büyülü düşler sana
Benden bahsediyorsa
Hemen tatlı uykundan uyan
Çünkü ben hiç uyuyamam
Seni düşündüğüm zaman
Ben ki sevmekten hiç usanmam
Eğer her gece yattığında
Büyülü düşler sana
Benden bahsediyorsa
Hemen tatlı uykundan uyan
Çünkü ben hiç uyuyamam
Seni düşündüğüm zaman
Ben ki sevmekten hiç usanmam";;Pinhani - Sevmekten Usanmam
" Yüksek Sadakat - Aşk Durdukça
Dünya döner bir gün daha
Yeryüzünde aşk durdukça
Gece erken inse bile korkma
O hep seninle kaldıkça

Biliyorsun gitmem gerek
Yollar bitmez düşünerek
İster sonuç de istersen sebep
Bu düğümü çözmem gerek

Belki sana yazarım
Uğradığım bir şehirden
Renkli bir kart atarım
Mekke ya da Kudüs'ten

Sonra bir gün çıkarım
Sen artık dönmez derken
Bir şarkı fısıldarım
Kulağına gün batarken

Dünya döner tek bir yana
(Aşk durdukça) doğsun diye gün bir daha
Ben de döndüm sana
(Aşk durdukça) sönmek için yana yana

Dünya döner tek bir yana
(Aşk durdukça) doğsun diye gün bir daha
Ben de döndüm sana
(Aşk durdukça) sönmek için yana yana

Belki sana yazarım
Uğradığım bir şehirden
Renkli bir kart atarım
Mekke ya da Kudüs'ten

Sonra bir gün çıkarım
Sen artık dönmez derken
Bir şarkı fısıldarım
Kulağına gün batarken

Dünya döner tek bir yana
(Aşk durdukça) doğsun diye gün bir daha
Ben de döndüm sana
(Aşk durdukça) sönmek için yana yana

Dünya döner tek bir yana
(Aşk durdukça) doğsun diye gün bir daha
Ben de döndüm sana
(Aşk durdukça) sönmek için yana yana

Dünya döner tek bir yana
(Aşk durdukça) doğsun diye gün bir daha
Ben de döndüm sana
(Aşk durdukça) sönmek için yana yana

Aşk durdukça
Aşk durdukça";; Yüksek Sadakat - Aşk Durdukça
"Aylin Aslım - Küçük Sevgilim
Ne sandın kendini?
Küçük sevgilim
Roller değişmedi, katil benim
Bu kadar zaman oyun mu zannettin?
Kalbini taş gibi, demir gibi kırılmaz mı zannettin?
Ne sandın kendini?
Küçük sevgilim
Hem kendine hem bana
İnan yazık ettin (ettin)
Öcünü almadan zaman
Görebilseydin eğer
Bu kadar korkmak zaten ölmeye benzer
Öcünü almadan zaman
Görebilseydin eğer
Aşksız olmak zaten ölmeye benzer
Ne sandın kendini?
Küçük sevgilim
Roller değişmedi, katil benim
Bu kadar zaman oyun mu zannettin?
Kalbini taş gibi, demir gibi kırılmaz mı zannettin?
Öcünü almadan zaman
Görebilseydin eğer
Bu kadar korkmak zaten ölmeye benzer
Öcünü almadan zaman
Görebilseydin eğer
Aşksız olmak zaten ölmeye benzer
Öcünü almadan zaman (zaman, zaman, zaman, zaman, zaman, zaman, zaman, zaman, zaman, zaman, zaman, zaman, zaman)
Öcünü almadan zaman
Görebilseydin eğer
Aşksız olmak zaten ölmeye benzer";;Aylin Aslım - Küçük Sevgilim
