şarkı sözleri;;"﻿şarkı sözleri;;şarkı ad"
"Ferhat Göçer – Geçmiyor Günler Şarkı Sözü





Burada çiçekler açmıyor
Kuşlar süzülüp uçmuyor
Yıldızlar ışık saçmıyor
Geçmiyor günler geçmiyor
Avluda volta vururum
Kah düşünür otururum
Türlü hayaller görürüm
Geçmiyor günler geçmiyor
Dışarıda mevsim baharmış
Gezip dolaşanlar varmış
Günler su gibi akarmış
Geçmiyor günler geçmiyor
Gönülde eski sevdalar
Gözümde dereler bağlar
Aynada hayalim ağlar
Geçmiyor günler geçmiyor
Yanımda yatan yabancı
Her söz zehir gibi acı
Bütün dertlerin en gücü
Geçmiyor günler geçmiyor
Dışarıda mevsim baharmış
Gezip dolaşanlar varmış
Günler su gibi akarmış
Geçmiyor günler geçmiyor";;Ferhat Göçer – Geçmiyor Günler 
"Ufuk Beydemir  – İnsanlık Şarkı Sözü





Gemilerde, trenlerde
Faytonlarda, kamyonlarda
Hatta yayan yalın ayak
Yolcu insanlık 
İnsanlık, kin saldık
İnsanlık, kutsaldık
Kıpkırmızı ah şu yeryüzü
Hala mavi gökyüzü
Seslerinde, bakışlarında
Kan kaplı ellerinde
Katil fikirleriyle
Yolcu insanlık
İnsanlık, kin saldık
İnsanlık, kutsaldık
Kıpkırmızı ah şu yeryüzü
Hala mavi gökyüzü";;Ufuk Beydemir  – İnsanlık 
"

Yalın feat. Solanch De La Rosa – İstanbul Şarkı Sözü





Yalın feat. Solanch De La Rosa – İstanbul sözleri:
Sokaklarında kalbimi bıraktım
Çocukluğumu bıraktım
Şimdi yanımda yine olsa
Çok sarılır uçurmazdım
İstanbul
Sen barıştır bizi
Gel kavuştur bizi
İyi geliyorsun yaralarıma
İyi geliyorsun İstanbul";;Yalın feat. Solanch De La Rosa – İstanbul 
"Yiğit MAHZUNİ – Unutacağım Şarkı Sözü





Zor inanması
Sarardım ben bu yarayı
Ama o gitti yine acıyor
Kahrolası
Aklıma söyledim ama kalbim dinlemiyor
Kör olası
Deli gibi istiyor seni seniz uyumuyor
Geceleri deliden de beter
Beni mahvediyor ama ben
Bir yolunu bulup unutacağım
Bu kalbi ben gibi avutacağım
Sen gibi bırakıp gidenin
Adını bir daha anmayacağım
Deli gibi sevmiş olabilirim
Hayat bu elbet gülebilirim
Vefasızın birini ömrüme
Yazdığım gibi silebilirim";;Yiğit MAHZUNİ – Unutacağım 
"Çağan Şengül – Gülümse Şarkı Oldun Şarkı Sözü





Uzun bir yolculukta, denizi görmek adın
Mirasın bu kokuyla baş edemez hiç bir yanım
Koşar adım, koşar adım uzağına bu volkanın
Dayanamaz, kül olurum can verir bu sol yanım
Alınyazım haketmedin sana yaptıklarımı
Vur yüzüme günahları korkup kaçtıklarımı
Utanırım utanırım gözlerimde yaş oldun
Üzülme sevgilim gülümse şarkı oldun bugün
Geçmişin elleri yakamda
Ve her gece buluyor beni odamda.
Her yolu denedim son bulmuyor
İçimin yangını
Sesimin argını
Her sonu göreni öldürmüyor
Bir amaç verdin bana
Dinle ama ağlama
Yolun ortasında yürüyeceksen
Ters yöne doğru
Arkana bakmak zor iş çünkü
Dedi ki ; ararsan, kalbine bak!
Dedi ki; ölmen gerek belki bi’kaç defa
Ben de yaşamak denen şeyi saksıya gömdüm
Ama filiz verdi
En iyi sen tanırsın aşk kokan şarkıları
Kah öldük kah öldürdük yaşadık aşkı kadın
Zaman geçer ecel çeker kollarımdan yanına
Biraz üzül, biraz ağla n’olur iyi hatırla beni..";;Çağan Şengül – Gülümse 
"Özdemir Erdoğan – Aşk Şarkı Sözü





Biri sana sorsa, şu dünyada, neler gördün
Neler umdun, ne buldun
Biri seni gerçekten sevsin diye, aşk uğruna
Neler verdin hesapsız
Gerisini boş ver aldırma
Ömür dediğin sanki rüya
İki gönül bir olunca aşkım, hayat güzel
Özgürlük yalnızlığa çare olmadı
Mahkum olduk birbirimize aşk uğruna
Unutma, nasılsan öyle sevdim seni, karıştırma
Biri sana sorsa, şu dünyada neler gördün
Neler umdun ne buldun
Nice güçlü insan bu (şu) dünyadan geldi geçti
Gerçek aşkı tadamadan";;Özdemir Erdoğan – Aşk 
"Bahtiyar Özdemir – Seviyorum Anla Şarkı Sözü





Neden niye gurur
Bende midir sorun
Gözüm dolu, yolun sonu
Görünmüyor
Aşkı oyuncak sananlar
Mecbur katlananlar
Laftan anlamayanlar
Aşktan ne anlar
Seviyorum anla, ölüyorum anla
Sırtımda yaralar var
Geçer zamanla
Belki benden ala, bulursun ama
Sever mi aynı açılmaz sabahlar
Az da hatırım varsa
Canını yakarım
Biraz daha kalsam
Söyle neydi sensiz
Beni böyle sarsan
Dönse sarsa silinmez günahlar.";;Bahtiyar Özdemir – Seviyorum Anla 
"Oğuzhan Koç – Sorma Neden Şarkı Sözü





Elimde yine kalemim
Yazıyorum seni sayfalara
Seneler, seneler
Kitap olmuş anılarla
Gizlesem hiç fayda etmez
Söylesem de daha beter
Sorma neden?
Sorma neden?
En derinden en son arzum
Şu halinde sana yakın olsam yeter
Sorma neden?
Neden geceler bu kadar sessiz?
Neden rüyalar, neden bu kadar uzak?
Neden derler iyiler cok yaşamaz?
Al bu canım senin, al senin olsun";;Oğuzhan Koç – Sorma Neden 
"Berkay – İki Hece Şarkı Sözü





Öncesinde belliydi sahte duyguların
Anlamazlıktan geldim masaldı uykularım
Oysa birçok sözün gölgesi oyunlarının
Bu derse ihtiyacı var aklı olmayanın
Düşmem bir daha yalnızlık korkularına
Her şey eskide kaldı bir çift lafınla
Alırsın artık bence bunca laftan sonra
Yalanını alda artık sus zaten konuşma
İki kişilikmiş herkes bilir bunun adı aşksa
Nasıl da diz çöktürdü iki hecelik adına";;Berkay – İki Hece 
"Fatih Bulut – 15 Kişiye Saldırdım Şarkı Sözü





Karekterinden belli senin ağzın ne sölüyor
Özün ayrı sözün ayrı yüreğin ayrı oynuyor
Olmuyor olmuyor delikanlı adamsın sana hiç yakışmıyor
Yüz üstü düşersin yere dağılırsın paramparça
Yeryüzünde gezemezken kuş olursun havalarda
Seni gören selam vermez halinden utansana
Senin aklın sana yetmez sen haklısın sana kalsa
On beş kişiye saldırdım vurdum vurdum saymadım
Yumruk yedim durmadım yere düşdüm caymadım
Tek başıma savaştım hepsini yerden topladım
Karekterinden belli senin ağzın ne sölüyor
Gözün ayrı dilin ayrı yüreğin ayrı oynuyor
Olmuyor olmuyor delikanlı adamsın sana hiç yakışmıyor
Yüz üstü düşersin yere dağılırsın paramparça
Yeryüzünde gezemezken kuş olursun havalarda
Seni gören selam vermez halinden utansana
Senin için be gardaşım bu kavgamda bu sevdam da
On beş kişiye saldırdım vurdum vurdum saymadım
Yumruk yedim durmadım yere düşdüm caymadım
Tek başıma savaştım hepsini yerden topladım";;Fatih Bulut – 15 Kişiye Saldırdım 
"Cankan – Nedenini Sorma Şarkı Sözü





(Şan)
Kalmadı hiçbir şey bende
Kalmadı geri dön desen de
Olmuyor inan olmuyor
Suç sende gönül durmuyor
(ara nağme)
Şimdi ne yüzle çıktın karşıma
Söyle ne yüzle döndün aşkına
Şimdi ne yüzle çıktın karşıma
Tükettin beni bırak allah aşkına
(nakarat)
Nedenini sorma söyleyemem birer birer
Nedenini sorma yüreğime ateş düşer
Senden sonra bu yolculuk burada biter
Benim halim senden beter
Çile çeken kalbe keder bu acı yeter
(şan 2)
Sen benim en güzel yıllarımı çaldın
Sana inandım bağlandım nasıl da kandım
Ey bu kalbin katili mutlu musun şimdi
Ne yüzle söyle ne yüzle  ";;Cankan – Nedenini Sorma 
"Murat Boztepe – Yakalarım Seni Şarkı Sözü





Bi gün yine bi yerde
Karşılaş benimle
Bak neler anlatıcam patlicak bomba bumm
Giderken hiç acımadın mı
Sözlerin kaldı yerde
Can çekişen ben oldum patlicam şimdi bumm
Bu dünya
Sana da bana da dar gelecek
Bu dünya sana
Hep mi güzel
Hep mi çiçek
Elimde fotoğrafların
Gülen şen kahkahaların
Bir öylesin bir böylesin
Sen ne kırvak bişeysin kızım
Babasının prensesi
Ailenin gülen sesi
Dürürürüttürüttürüt
Bi yerde yakalarım seni";;Murat Boztepe – Yakalarım Seni 
"

Yıldız Tilbe – İstiyorken Ağlıyorum Şarkı Sözü





İstiyorken ağlıyorum vazgeçerken de
Tanımadan bağlanıyorum hata bende
Üzülürken takıyorum sevinirken de
Vardan yoktan azdan çoktan hep bir de aşktan
İlk öpüş kadar uzak bir melekle gelir aşk
İçimi doldurmadı hiçbir yalnızlık
Hayallerimin her çığlığında sendeler aklım
Kapıyı açan şu gözlerimde acıyan kalbim
Sevgilim sevgilim sevgilim için
Kendime ayırdım bu şarkıyı sessizce
Kimseye bir tek cümle bile yok içinde
Kalbime sordum ne haber diye boşum dedi
Aklımı yokladım yerinde hoşum dedi";;Yıldız Tilbe – İstiyorken Ağlıyorum 
"Cem Belevi – Buz Yanığı Şarkı Sözü





Baktı görmeden hiç düşünmeden
Belki bilmeden yaktı çok derinden
Vakti gelmeden öyle aniden çekti gitti
Birden, çok erkenden
Sızlayan bir küçük vicdan yok mu?
Yok olup tamamı bitmeden
Bize son bir şansı istemen zor mu?
Gel, yeniden sarılır toplanırız
Arayı çok açma
Buz yanığı ayrılığın, sen güldüğüme bakma";;Cem Belevi – Buz Yanığı 
"Yıldız Tilbe – Kırmızı Koltuğumda Şarkı Sözü





Kırmızı koltuğumda sade kahvem
Tükenmedi kalemler yüzünü çizdim günlerce
Yazdıklarımda seni buldum şiirlerce
Sen gülüyordun 
Alınırsam usanırsam unutursam diye korkma
Arıyorsam seviyorsan şaşırma buna
İstemeden acıtırsam aşktan bil affetmeyi de sev
Biraz narsis çokta masum aşktanım ben
Gönlünde uyumuşum
Öp uyandır yüzyıl sonra
Gelsen de gönlümde yatıp
Uyu aşk bizi görsün rüyasında
Bugün her günden ince hassaslığım
Çiçekli penceremden karakargalar bakarken
Gün batıyordu sana renklerim solarken
Sen gülüyordun";;Yıldız Tilbe – Kırmızı Koltuğumda 
"Sezen Aksu – Sarı Odalar Şarkı Sözü





Ben senin hayatından gittim oğlum
Hadi yerime koy birini koyabilirsen
Ben senin hayatından gittim oğlum
Hadi dur o sarı odalarda durabilirsen
Ben sen, sen diye bittim oğlum
Hadi bakalım unut unutabilirsen
Ben seni yudum yudum içtim oğlum
Hadi ol eskisi gibi olabilirsen
Uzak benden aşk uzak artık
Kanun mudur bu yasaklık
İnan içimde yok fesatlık
Alırım başımı giderim efeler gibi hey
Efeler gibi hey";;Sezen Aksu – Sarı Odalar 
"Yıldız Tilbe – Seviyor musun Şarkı Sözü





İçim dışım isyancı gibi benim bu günlerde
Buz gibi yabancı tenin canıma ağır bu günlerde
Hiçbir anı yok içimi ısıtan kimim bu günlerde
Bu haydut şehirde geçen bu günlerde
Bir değeri yok ölümün kalımın hayat bir geçişse
Ne aşk ne dost ne serde yokum bu günlerde
Sessiz loş bir oda yüzün
Ay gibi parlıyor gülüşün
E ne diyorsun?
Sessiz loş bir oda yüzün
Ay gibi parlıyor gülüşün
Seviyor musun?
Bir yaralı kuş kalbimde gezer kara gecelerde
Uykumu böler acıyan ruhum kim bilir derdim ne
Ruhsatlıdır yalnızlığım mecburu hallerde
Bomboş hayallerde kapandı mı perde
Kim geri verir bir gün öncemi sonrası kaderde
Bu haydut şehirde geçer bu günlerde";;Yıldız Tilbe – Seviyor musun 
"Oğuzhan Koç – Beni İyi Sanıyorlar Şarkı Sözü





Uzun oldu gideli sen
Ne de koydu ah bi’ bilsen
Beni sorarsan iyi işte
Nasıl olunursa öyleyim ayrıldıktan sonra
Her şey aynı
Aynı kuşlar
Karanfiller
Hepsinin selamı var sana
Ne de zormuş başa çıkmak
Yokluğunla kucaklaşmak
Kime sorarsan seni andım
Bitti dedim
Gitti halimden anlar sandım
Haklı belki
Herkes kendi derdinde ya
Bir ben mi varım bu dünyada?
Ağlamadım diye sormadılar
Beni iyi sanıyorlar
İyi sanıyorlar
Unutursun iki gün sonra
Adını diyorlar onun unutmam
Unutursun iki gün sonra
Adını diyorlar onun";;Oğuzhan Koç – Beni İyi Sanıyorlar 
"Selçuk Şahin ft. Melek Büyükçınar – İhanet Şarkı Sözü





Bak yine kaçtım ben kendimden
Ne farkı var bugünün dünden
Hayallerimi sığdıramıyorum
Aşkımdan hiç duymuyorum
Yanıyorum yine o yangın yüreğime
Eriyorum yine sevdim diye diye
Ateşle oynuyor bu kalbim
Terk edildiğini bile bile x2
Hadi yüreğim zorla yüreğim
O sana hep ihanet ediyor
Tasan olmasın şüphen olmasın
Yarın yeni bir gün doğuyor
Yüreğim zorla yüreğim
O sana hep ihanet ediyor
Tasan olmasın şüphen olmasın
Yarın yeni bir gün doğuyor
Bak yine kaçtım ben kendimden
Ne farkı var bugünün dünden
Hayallerimi sığdıramıyorum
Aşkımdan hiç duymuyorum
Yanıyorum yine o yangın yüreğime
Eriyorum yine sevdim diye diye
Ateşle oynuyor bu kalbim
Terk edildiğini bile bile x2
Hadi yüreğim zorla yüreğim
O sana hep ihanet ediyor
Tasan olmasın şüphen olmasın
Yarın yeni bir gün doğuyor ";;Selçuk Şahin ft. Melek Büyükçınar – İhanet 
"Yıldız Tilbe – O Benim Aslanım Şarkı Sözü





Yağmurlara, rüzgârlara salıncak kurar
Düşen yıldızları o yerine koyar
Dağlarda çiçek denizlerde yollar açar
Olağanüstü payıma düştü
Öyle bir sevdi ki eridim
Bu kadar olmaz eşi bulunmaz
O benim aslanım
O zaman olsun, içime doğsun
Sararıp solmasın adamım
Bu gönül aşka gözünü açtı
Bir daha uyumasın
Gül yüzlü güzel
Sensiz ne güzel
Her şeyden uzak
Senin yakınlığın yeter
Senin olmadığın yerde
Bana ne yeter
Hem çöl hem su yalan değil doğrusu
Umurumda değil mesafeler
Ne fark eder
Sen hiç güneşin gözlerini gördün mü
Olağanüstü payıma düştü
Öyle bir sevdi ki eridim
Bu kadar olmaz eşi bulunmaz
O benim aslanım
O zaman olsun, içime doğsun
Sararıp solmasın adamım
Bu gönül aşka gözünü açtı
Bir daha uyumasın";;Yıldız Tilbe – O Benim Aslanım 
"Soner Arıca – Adın Bahardı Şarkı Sözü





Kente yanlızlık gelirdi sen uyuyunca
Yüzümde mevsim değişirdi uyandığında
Bilmezdin gizliden seni sevdiğimi
Aşkın içimde solardı adın bahardı
Eteğini koştururdun sokağımızda
Sokak sus pus olur sana bakardı
Bilmezdin gizliden izlediğimi
Gözlerim gözlerinden korkardı
Hatırlıyorum adın Bahar’dı
Sokakta bir bayramdı durakta bekleyişin
Sanki sonsuz bir ayrılıktı okula gidişin
Bilmezdin seni her sabah yolcu ettiğimi
Yüreğim yol boyu ardından ağlardı
Hatırlıyorum adın Bahar’dı";;Soner Arıca – Adın Bahardı 
"Can Oflaz – Vazgeçtim Şarkı Sözü





Vazgeçtim, gözlerinden
Vazgeçtim, sözlerinden
Bir ah de yeter
Sessizce, kimsesizce
Gönderdim dudaklarımı
Öpme al yeter
Hiç tanımaz tenim ellerini
Bilmez yüreğim, bilmez yüreğini
Ah bu koku, bu ten bu dokunuş
Ah bu delilik sarsar bedenimi
Yok olmak, anıdır şimdi
Vazgeçtim, gözlerinden
Vazgeçtim, sözlerinden
Bir ah de yeter
Sessizce, kimsesizce
Gönderdim dudaklarımı
Öpme al yeter
Hiç tanımaz tenim ellerini
Bilmez yüreğim, bilmez yüreğini
Ah bu koku, bu ten bu dokunuş
Ah bu delilik sarsar bedenimi
Yok olmak, zamanı şimdi";;Can Oflaz – Vazgeçtim 
"Özcan Deniz – Aşk Şarkı Sözü





Aşk seni henüz tanıdığımda
Ben ömrümün daha ilk baharında
Bırakmıştım kendimi kucağına
Aşk kana kana zehirinden içtim
Her yanım yara bere senden geçtim
Öldüm ama şimdi iyiyim
Aşk onuda alma şimdi benden
Biliyorum bu olacak gelirsen
Bırakmazsın sen bizi öldürmeden
Aşk kalan ne varsa bir tek ona kaldı
Artık sevmek derdimin tek dermanı
Seni de yaşadım bırak şimdi 
Bırak onu seveyim
Kör etmede göreyim
Sen olmasan da olur aşk
Bırak onu seveyim
Zaten hayat zor bana
Daha da zorlaştırma
Huzuruma bir kapı aç
Bırak onu seveyim";;Özcan Deniz – Aşk 
"Tuğba Özerk – Hergele Şarkı Sözü





Ben tabanca sen kurşun
Azken bile ne çoksun
Düşünülemez sensiz bi’ ben
Ecelime kadar kaderim oldun
Hazırladım ben özrünü
Alırım o güzel gönlünü
Bana o kadar aşkın geçti
Senin bi‘ hüznüne yakarım ömrümü
Üzüyorsam seni oda aşkımdan
Geliriz ayrılığın hakkından
Dikenin zararı güle değil ele
Yüreğim dağ gibi aklım hergele
Ben senim seninim hala
Gözlerimde bir mana
Birinde yoksan birinde varsın
Süzülüp aynama kendini ara
Akacak aşk kalpte durmaz
Bensiz olur sensiz olmaz
Kendimi göğsünde kaybettim
Ara da bu hadi kaderi hokkabaz";;Tuğba Özerk – Hergele 
"Maher Zain & Mustafa Ceceli – O Sensin Ki Şarkı Sözü





O sensin ki aşkın yolu
En muhteşem Allah kulu
İnsanlığa dogru yolu
Sen gösterdin ey Muhammed
Chorus:
O sensin ki aşkın özü
Yaradanın bakan gözü
İnsanlığın en son sözü
Senin dilinden Muhammed
O sensin ki bilinmeyen
Ama her yerde görünen
Uzun yavaş hep gidilen
Senin yolundur Muhammed
(Chorus)
O sensin ki aşkın özü
Yaradanın bakan gözü
İnsanlığın en son sözü
Senin dilinden Muhammed
Senin dilinden Muhammed";;Maher Zain & Mustafa Ceceli – O Sensin Ki 
"Oğuzhan Koç – Aşkla Aynı Değil Şarkı Sözü





Senin adın aşkla aynı değil
Kimseye bitene değin
Sabretmem.
Geri adım atmak hiç bana göre değil
Üzgünüm ölene değin
Affetmem.
Elimde bir tek gururum
İçimde biten umudum
Yüzümde bir kaç çizgi daha
Akıl hepsini unutur elbet
Yüreğime desem hep ha gayret
Teselliler yetmez bana
İnanmam.
Kim bile bile yok sayar tüm hatalarını
Ben saydım.
Göz göre göre gittiğin o kör kuyuları
Sana anlattım.
Bir bilene sor gözyaşı biter mi?
Bir gün akar bir gün dinmez mi?
Harcadığın bir ömür sana yetmez mi?
Kim bile bile yok sayar tüm hatalarını
Ben saydım.
Göz göre göre gittiğin o kör kuyuları
Sana anlattım.
Bir bilene sor gözyaşı biter mi?
Bir gün akar bir gün dinmez mi?
Harcadığın bir ömür sana yetmez mi?
˚˚˚
Senin adın aşkla aynı değil
Kimseye bitene değin
Sabretmem.
Geri adım atmak hiç bana göre değil
Üzgünüm ölene değin
Affetmem.
Elimde bir tek gururum
İçimde biten umudum
Yüzümde bir kaç çizgi daha
Akıl hepsini unutur elbet
Yüreğime desem hep ha gayret
Teselliler yetmez bana
İnanmam.
Kim bile bile yok sayar tüm hatalarını
Ben saydım.
Göz göre göre gittiğin o kör kuyuları
Sana anlattım.
Bir bilene sor gözyaşı biter mi?
Bir gün akar bir gün dinmez mi?
Harcadığın bir ömür sana yetmez mi?
Kim bile bile yok sayar tüm hatalarını
Ben saydım.
Göz göre göre gittiğin o kör kuyuları
Sana anlattım.
Bir bilene sor gözyaşı biter mi?
Bir gün akar bir gün dinmez mi?
Harcadığın bir ömür sana yetmez mi?
Kim bile bile yok sayar tüm hatalarını
Ben saydım.
Göz göre göre gittiğin o kör kuyuları
Sana anlattım.
Bir bilene sor gözyaşı biter mi?
Bir gün akar bir gün dinmez mi?
Harcadığın bir ömür sana yetmez mi?";;Oğuzhan Koç – Aşkla Aynı Değil 
"Yıldız Tilbe – Arayacaksın Ayrılınca Şarkı Sözü





Seve seve ayrılmak istiyorsun sen
Bana göre yanlışa doyamıyorsun sen
Şimdi aşk diye delireyim mi ben
Saf bir şaşkına kırayım mı dümen?
Sorularım var cevapta beklemem
Full bahaneler hazır binbir neden
Git de o içini bir yaksınlar
Aklını havada bıraksınlar
Sende öğren ağlamayı aşka
Seni de seve seve unutsunlar
Git de o içini bir yaksınlar
Aşkını kapıda bıraksınlar
Sende öğren ağlamayı aşka
Seni de seve seve unutsunlar
Deli gibi aşığım oysa
Aklın başına mı gelecek ayrılınca?
Deli gibi aşığım oysa
Gölgemi bile arayacaksın ayrılınca
Yanıyorum ateşimi söndürmüyorsun sen
Peşine düşüyorum saklanıyorsun sen
Komple aşk dolu bir senelik rüya
Kaşla göz arası yanlış yoktu güya
Dile kolay da değil aslında
Kapı ardında ceketin askıda
Deli gibi aşığım oysa
Gölgemi bile arayacaksın ayrılınca
Deli gibi aşığım oysa
Aklın başına mı gelecek ayrılınca?
Deliler gibi aşığım oysa
Aklın başına mı gelecek ayrılınca?
Deliler gibi aşığım oysa
Gölgemi bile arayacaksın ayrılınca";;Yıldız Tilbe – Arayacaksın Ayrılınca 
"Aysel Yakupoğlu – Ne Bilsin Eller Şarkı Sözü





Sabahın seheri esiyor yeller
Benim sana yandığımı ne bilsin eller
Ne bilsin eller, ne bilsin eller
Sevdana düşeli geçmiyor günler
Benim sana yandığımı ne bilsin eller
Ne bilsin eller, ne bilsin eller
Duydum ki hep beni konuşur diller
Benim sana yandığımı ne bilsin eller
Ne bilsin eller, ne bilsin eller";;Aysel Yakupoğlu – Ne Bilsin Eller 
"Sancak – İnat Şarkı Sözü





Beni kandırdın, seviyorum diyerek
Körü körüne inandığımı adın gibi bilerek
Uykumdan uyandırdın, en güzel yerinde
Dostlarımdan utandım halime üzülerek
Her şey sende kalsın bana yalnız beni bırak
Güneşim doğmaz zaten mevsimler yok artık
Aklım sende kalsın dayanırım bana bırak
Ellerimdeki izler duvarlara vurarak
İçimde kopan fırtınaya inat
Yalanlarına inat
Seni bekliyorum
Yanında uyandığın kimselere inat
Bu gururuma inat
Seni özlüyorum
Seni kandırdım, gidiyorum diyerek
Geri dön demeyeceğini adım gibi bilerek
Uykumdan uyandırdın, en güzel yerinde
Dostlarımdan utandım halime üzülerek
Her şey sende kalsın bana yalnız beni bırak
Güneşim doğmaz zaten mevsimler yok artık
Aklım sende kalsın dayanırım bana bırak
Ellerimdeki izler duvarlara vurarak
İçimde kopan fırtınaya inat
Yalanlarına inat
Seni bekliyorum
Yanında uyandığın kimselere inat
Bu gururuma inat
Seni özlüyorum";;Sancak – İnat 
"Ali Güven – Yadigar Şarkı Sözü





Ne varsa gönlümde sen aldın götürdün yar
Bu hüzün bana senden yadigar
İçimde ağlayan bir çocuk bıraktın yar
Bu acı bana senden yadigar
Bu gece canım yalnız kalmak istiyor
Her şeyden uzak her sözden gözden uzak
Bu gece canım yalnız kalmak istiyor
Hiçbir şey konuşmadan insandan dosttan uzak
Böyle değildim ben sensizliği bilmeden
Bu garip huylar senden yadigar
Ne varsa gönlümde sen aldın götürdün yar
Bu hüzün bana senden yadigar
İçimde ağlayan bir çocuk bıraktın yar
Bu acı bana senden yadigar";;Ali Güven – Yadigar 
"Güney Marlen – Dokunmasınlar Bana Şarkı Sözü





Güney Marlen – Dokunmasınlar Bana Şarkı Sözleri :
Bu aşk küçük bir kutuymuş
Anılarla dolmuş
Bu aşk küçük bir kutuymuş
Ağırlaşmış zamanla
Kopmuş altı bi’ anda
Kırılan bi’ kumbara
Hiç emekler gider mi boşa
Dokunmasınlar bana
Kimse öyle kokmuyor
Sevmesinler beni
Kırılan bi’ kumbara
Her şey yolunda gibiymiş
Aşk altımızda bi’ halı
Isıtmış hep ayaklarımızı
Birden çekmişler altımızdan
Düşmüşüz ayrı ayrı
Aşk komada ve iki yaralı
Dokunmasınlar bana
Kimse öyle kokmuyor
Sevmesinler beni
Kimse gerçek sevmiyor";;Güney Marlen – Dokunmasınlar Bana 
"Zeynep Doruk – Unutmasınlar Aşkım Şarkı Sözü





Günah olsaydı olmazdı koku
Yasak olsaydı görmezdi gözler
İkimiz de bunu anlasak da onlar anlamaz
Çoktan yazılmış aşkın yasası
Bu kimin kalemi?
Kimin kitabı?
Kimler tutar bu zalim hesabı?
Unutmasınlar bizi aşkım
Affetmesinler bizi aşkım
Hesabı bir tek Tanrı’ya aşkın
Unutmasınlar bizi aşkım";;Zeynep Doruk – Unutmasınlar Aşkım 
"

Sezen Aksu – Aşkları da Vururlar Şarkı Sözü





Gel, bana kalbini göster ne olur
Sen değilsin bu sudaki aksin
Hadi gel, kader değil bu
Hepimize öğretilmiş öfkeler
Ne olur teslim olma, gel
Bu kızgın, bu kalp kıran eller
Bir zaman bebektiler
Hadi gel, aslını göster
Suretin çok zalim
Çok mu üzdüler seni
Sahiplenme, senin değil bu dikenler
Sözlerin hançer
Yareler açar, yareler gülüm
Sür gözlerinin namlusuna
Sür beni, aşktan olsun ölümüm
Aşkları da vururlar
Şarkıya şiir olur
Adanır sonsuz anısına
Kanayan sevdanın
Eyvah şiirler azalmış
Günümüz perişan
Yanıyor içimizdeki
Koskoca orman";;Sezen Aksu – Aşkları da Vururlar 
"Miraç – Kadere Bağlayamam Şarkı Sözü





Miraç – Kadere Bağlayamam şarkı sözleri:
Ne günler sayılır
Ne yaralar sarılır
Kalbim hep darılır
Aşkta şanssız anılır(x2)
Güneşim doğmuyor
Yalvardım olmuyor
Tanrım verdiğin bu derde
Yürek dayanmıyor(x2)
Ben asla,
Kalamazdım bu aşkla sonsuza
Yaşar yüreğim artık onsuz da
Teselliyi başka bir omuzda
Arayıp ağlayamam
Aslında,
Bırakıp gitti derbeder etti
Tenimi kendine tuzak etti
Yaşattığın onca acıyı ben asla
Kadere bağlayamam
Güneşim doğmuyor
Yalvardım olmuyor
Tanrım verdiğin bu derde
Yürek dayanmıyor
Ben asla,
Kalamazdım bu aşkla sonsuza
Yaşar yüreğim artık onsuz da
Teselliyi başka bir omuzda
Arayıp ağlayamam
Aslında,
Bırakıp gitti derbeder etti
Tenimi kendine tuzak etti
Yaşattığın onca acıyı ben asla
Kadere bağlayamam
Kalamazdım bu aşkla sonsuza
Teselliyi başka bir omuzda
Bırakıp gitti derbeder etti
Yaşattığın onca acıyı ben asla
Kadere bağlayamam";;Miraç – Kadere Bağlayamam 
"Güncel Gürsel Artıktay – Uzak Yol Şarkı Sözü





Güncel Gürsel Artıktay – Uzak Yol sözleri:
Güneş doğdu avuçlarımda, bahar yüzümde
Hayat okşar ruhumu, derinlerde
Bilen var mı aklım nerede? Alıp götürdün
Sormak gelir içimden, rüzgar mısın aşk mısın?
Bir uzun yoldan geldim, ardım bomboş
Aşk yolundan dönmem derdim. Kimler sarhoş?
Bir bakarsın uzaklardan, bahar yüzümde
Çıkar mı bu yollar ona? Kim bilir nerede?
Bir uzun yoldan geldim, ardım bomboş
Aşk yolundan dönmem derdim. Kimler sarhoş?
Bir uzun yoldan geldim, ardım bomboş
Aşk yolundan dönmem derdim. Kimler sarhoş?";;Güncel Gürsel Artıktay – Uzak Yol 
