id,baslik,sarki_sozu,sarki_turu
728,Oğuz Berkay Fidan – Kül,"diyorlar gün karşılaştığımızda
seninki
sürü martaval okuyorum hepsine
gerçeği diyemiyorum
fırtınalar sönmedi aramızdaki
gün geçtikçe artarak esti
bitmedi çile bitmedi azap
i̇kimizin arasındaki
sar beni gülüşünle al götür uzaklara
yak beni ateşinle kül olayım kül gözlerinde
",pop
729,Ceren Cennet – Kördüğüm,"sevdim vicdansız
tutmadım sevdam hesapsız
gönlün sözü belli
ömrüm bildim seni
sevmedin
hissetmedin beni
kime gideyim
yolum yordamım öleyim
kimsesiz çaresiz aşksız kaldım
kime yalan söyleyeyim
terkedip gitti diyeyim
kördüğüm olmuşken kalbim
parçalandı yüreğim
",pop
730,Ayla Çelik – Aşık Oldum Giderken,"şey kattın ömrüme
şey seninle tutulmuyor
mutlu olmayı senden öğrendim
senin gidenler unutulmuyor
sevda seninle sevda olurdu
seni tanımak benim gururdu
geçti
ayrılık severken
gün sana kez
oldum giderken
geçti
ayrılık severken
gün sana kez
oldum giderken
şey kattın ömrüme
şey seninle tutulmuyor
mutlu olmayı senden öğrendim
senin gidenler unutulmuyor
sevda seninle sevda olurdu
seni tanımak benim gururdu
geçti
ayrılık severken
gün sana kez
oldum giderken
geçti
ayrılık severken
gün sana kez
oldum giderken
geçti
ayrılık severken
gün sana kez
oldum giderken
",pop
731,Cevher – Duacı,"gel otur
konuşalım seninle
bahsettiklerini şimdide söyle
kaçırma gözlerini benden
sevmiyorum desene
hatalıyım biliyorum
affet beni
seni hala deli
seviyorum
olur susma
cevap ver bana
bittim beklemekten
delinim hastanım
sevmene muhtacım
çocuğum
masumum inanmadın
aşığım şahidim
biliyor allah’ ım
senle olsun
vebali ağırdır
yargısız infazının
nefes hayat
karanlığım yalnızım
sorsam cevap
kesilmiş hesabım
günahın büyük duacınım
",pop
732,Gökçe – Bu Kalp,"arıyorum ilgini
i̇lk baştaki sevgini
kalbindeki yara
nasır tutmuş
gidiyorum buralardan
senden uzaklara
düşmem
aşk tuzağına
olmuyor sensiz olmuyor
denedim yerin dolmuyor
gün gelirsen
kalp seni bekliyor
geziyorum tozuyorum
gecelere akıyorum
kalabalıklar
sensiz kalıyorum
gülüşünü öpüşünü
silemedim aklımdan
arkadaşlar sohbetler
susmamız
",pop
733,Tuğba Yurt – Masal,"başının altında yabancı omuz
kaderin yazdığına ruhumuz
güvendiğim varsa yıkık dökük
çoktuk yokmuşuz
i̇ki kalbin cezası aynı değilken
kırılanın rızası alınmamışken
ayrılık zamansız
i̇zini bırakıyor masal biterken
kirpikten damla düşmeden dön
sevabı sana yazılsın
ayrılık ölümden farklı değilken
hala hayattasın
",pop
734,Tuğba Yurt – Aşk Ateşi,"sonum oldun kayboldum
cevabı olmayan soru oldun
yoruldum savruldum
güneşe kavuşmayan
geceyi gördün
gün gelir anılar
acılarla birleşir
habersiz olur bakmaz gözyaşına
bilmez haddini
aşar sınırları
haykırışların dolaşır kaderinde
gel gör beni duy sesimi
yakıyor içimi içimi aşk ateşi
hatıralar peşimde yalvarırım
kurtar beni
",pop
735,Tuğba Yurt – Nöbetçi,"olmadık senle
hayal gördük kayboldu
güzeldi
sonu yoktu
kelime yangının
sebebi giderken dedi
üzülme yalvarırım sus
git söylenecek şey
seve seve ayrılalım dese
acıtsa dili kalbim aşkına nöbetçi
kalbim aşkına nöbetçi
",pop
736,Tuğba Yurt – Sığınak,"neler çektin gönül
onun umurunda
şeyler var insanın
elinde
sormaz zalim
neyin var neyin
hayata küsme
suç sende
sevdam yüreklerde olmuş ziyan
ömür ateşlerde yürüdüm dayan
zaman durdu içim yaralı
olur çalma kapımı
dünya yalan
yıllarım darma duman
duymaz mısın içimde kıyametler kopar ömür çalan
gittin gideli
dünya yalan
yıllarım darma duman
görmez misin kalbim sığınak kör zindan
bittin biteli
",pop
737,Tuğba Yurt – Adı Aşk,"bak dönüyor dünya
seninle sensiz
olmuyor anladım azalınca sevdadan
haberin değilim
buralarda selamına yeniğim
yüzden hala
direniyorum sana gidemiyorum uzağa
bi cayıp gelsen
yarım kaldık
gel adı aşk bunun
",pop
738,uğba Yurt – Olan Olmuş,"aşk yürek canım
senlik bi durum
seni bana sormasınlar
lüzumu
aşılmıyo çözülmüyo
olan olmuş bize
kapamadım
aralık kapılar
sana aşka
bugünün acısı yarının anısı
olacak olsa
",pop
739,Hasibe – Avara,"değer sevda uğruna
rezil rüsva olmaya
havada pilot olsan yer yüzünde adam olmayınca
söyle neye fayda
konuş konuş beni ona buna söyle kimin umurunda
sarıp sarıp yatıp kalkıp kalkıp döndük başa
gönlüm gönlüm gönlüm gönlüm
değer sevda uğruna
rezil rüsva olmaya
havada pilot olsan yer yüzünde adam olmayınca
söyle neye fayda
konuş konuş beni ona buna söyle kimin umurunda
sarıp sarıp yatıp kalkıp kalkıp döndük başa
gönlüm gönlüm gönlüm gönlüm
konuş konuş beni ona buna söyle kimin umurunda
sarıp sarıp yatıp kalkıp kalkıp döndük başa
gönlüm gönlüm gönlüm gönlüm
",pop
740,İsmail YK – Mutluluk Budur,"damarımda kanım can damarımsın
canımsın canım kalp atışımsın
koparsalar benden nedir
dayanamam bırakmam seni
dayanamam bırakmam seni
mutluluğu gördüler çekemiyorlar
korkuyorum canım gülüm
beni sana vermiyorlar ooff
seni bana vermezlerse
vermem seni ellere
aşkımızın gücü budur
ölmek vardır dönmek yoktur
seni bana vermezlerse
vermem seni ellere
aşkımızın gücü budur
ölmek vardır dönmek yoktur
",pop
741,Tuğba Yurt – Geliyo Geliyo,"neyden çekiniyorsam günlerdir beni arıyor
güller kelebekler yollarda ziller bana çalıyor
tutuşmuşsam aklım karış havada
yansın yanacaklar sorumluyum olacaklardan
biliyorum hissediyor benimle aynı havayı soluyor
vakti söylemeli gerçekleri
geliyo geliyo benim geliyor
çaktırma normal davran ayarsızım bilmiyor
allahım bana özel
hayaller kurdum ona bilmiyor
",pop
742,Tuğba Yurt – Taş Yürek,"açmıyor kalbim eskisi
kaldı senden
kuytulara karıştı masumiyet
sevmeyi göze aldım
canımdaki saflığı benden aldın götürdün
dağıta dağıta
iyisin gökyüzümü üzdün
kuruta kuruta
beni sevmen
kalp aşktan ölürken dekor
zaman yoruyor şekilde geçiyor
sendeki taş yüreğe ağlamıyor
",pop
743,Tuğba Yurt – Çürüdüm,"yazdım çizdim bezdim canımdan
kanımı kuruttun beni delirttin çekil yolumdan
dediğin dediğini tuttu gün sözün söz
kalk gidelim diyor otur gözün göz
senin
başım ağrıyor saçım ağarıyor çürüdüm
i̇çim ağrıyor dışım ağrıyor çürüdüm
yanım ağrıyor canım ağrıyor çürüdüm
oram ağrıyor buram ağrıyor çürüdüm
yazdım çizdim bezdim canımdan
kanımı kuruttun beni delirttin çekil yolumdan
ufak ufak ufak ufak geldiler halim hal
kalbi hadiselerden mesele mal
",pop
744,Selçuk Şahin – Kıymet,"geçmiş zaman
seninle olan şey yalan
senden kalan hasar
yakacak içimi azar azar

senden kalan acılarla
gidiyorum uzaklara
paramparça
bilmedin
kıymet bilmedin
görmedin
aşkımı sevgimi
",pop
745,Ebru Polat – Anlayacaksın,"i̇stemesen dostlar sorar
benden konuşacaksın
evde eşya sana delil
aleyhime kullanacaksın
sevişirken başkasıyla
benim kokum odanda
aynalarda yansımam belirir
geçemezsin uykulara
tutulmadı vaatler
sözünün eri
seni vurduğunda yeminler
yıkanırsın elimin kiri
aşk vazgeçilmez demiştin
ten unutulmaz
unutulmaz anlayacaksın ağlayacaksın
",pop
746,Tuğba Yurt – Vurkaç,"dağılmışım toparlarım
yanılmışım zamanla geçer
gidişin sırtımda kırbaç
sende oyunun kuralımı vurkaç
oynarız erinmeyiz
korkular bizde oyuncak oldular
gelip geçti göğsümüzden
hatıralar
seni kendime yar
ateş olup üzerime yağ
derman derdin kollarında
ellere kal sevdim
",pop
747,Zakkum – Güneşimi Kaybettim,"akşam yüreğimden
çıkarttım anıları
yaşadım yangın
i̇çimde acıları
benden geçtim
senden vazgeçemem
dokunulmazımsın benim
yüreğime hükmedemem
güneşimi kaybettim
gözlerini görmem
yaşamaya dönmem
hasretini silmem
",pop
748,Bilal Sonses – Neyim Olacaktın?,"nerde günlerim nerde
bi’ gülüşün vardı devaydı derde
geçmez dediğim varsa hayatta
geçti gitti sende gelme
beni haketmemişsin
kendime hayat kurdum
neyim olacaktın bak neyim oldun
dindi gözlerim hayal kurdum
seni bulacaktım bak sizi buldum
sormam seni başkasına
koyma yerime kimseyi…
",pop
749,Çağan Şengül – Benimle Kal,"yüzün eski şiirdir
kez yazılmış
üstü karalanmış
sevilmek savaş
yalan bulaşmış
yara almış
arıyorsam seni
hükümsüzlüğün hakimiyim
öleceğini
sever kalp katilini
durur zaman
benimle kal akşam
beni vur
öldür
beni büyüt
döndür hayata
uyur yaram derinde bak kanatma
beni koru
beni sakla
beni kül et yakma yüreğimi
durur zaman
benimle kal akşam
uyur yaram derinde bak kanatma
",pop
750,Ayçin Asan – Bozuyorum Yeminimi,"bitti güvenim hakkın aşk senin
çaban bitmedi yalan sözlerin
gelmiyor içimden dur sana
gönüllü gidişine yolun ola
gelmiyor içimden kal sana
bozuyorum yeminimi güle güle aşkım
ah… gelemedim görmemezlikten sitemleri
yediremedim gururuma ihaneti
seni kendimi terketmeli
yeter yeter gelemedim görmemezlikten sitemleri
yediremedim gururuma ihaneti
seni kendimi vuracağım çek git
",pop
751,Zeynep Bastık – Kalmadı,"söz söz verdim
sevmem yemin ettim
çoktan duygularda
sordum askı
korkuyorsam nedeni var
ateş yaktığı yerde dert
bunları duymadın farzet
bendeki izlerini takip et
benim aska inancım kalmadı
sorma sorma
beni ellere verdin utanmadan
bozma bozma keyfini
söz söz verdim
sevmem yemin ettim
çoktan duygularda
sordum askı
korkuyorsam nedeni var
ateş yaktığı yerde dert
bunları duymadın farzet
bendeki izlerini takip et
benim aska inancım kalmadı
sorma sorma
beni ellere verdin utanmadan
bozma bozma keyfini
",pop
752,Jehan Barbur – Kusura Bakmasınlar,"kusura bakmasınlar bütün yıllar benim
i̇çeri indikçe durmaksızın derin
kusura bakmasınlar yıkık hayat benim
i̇çime döndükçe yeri gelir içerim
ayıbın yolu kayıp sövmeyin sessizce
dilimin kemiği kırık durmayın üstünde
ayıbın yolu kayıp gelmeyin üstüme
dilin kemiği kırık durmayın sözünde
kusura bakmasınlar bütün aşklar benim
sayamıyor ellerim
yüzüme gülmüş kırıktır düşleri
döndü günün gecesi
yaşamak suda
yatıyorum rüyaya uyansa benimle
yaşamak şeffaf yolda
uyanırım rüyaya uyusa benimle
kusura bakmasınlar bütün benim
sayısı sayamıyor dillerim
kusura bakmasınlar yıkık hayat benim
döndükçe yeri gelir söverim
ayıbın yolu kayıp sövmeyin sessizce
dilimin kemiği kırık durmayın üstünde
ayıbın yolu kayıp gelmeyin üstüme
dilin kemiği kırık durmayın sözünde
",pop
753,Akın Zurnacı – Benim Olsun,"yarim dünyama
gelseydim
sevdama
vazgeçemem senden
kalbimin
cennet gibisin
olsan
benden gidemezsin
kalbimi iste al senin olsun
dünyan benle yar dolsun
dileğim var
ömrün benim yar benim olsun
kalbimi iste al senin olsun
dünyan benle yar dolsun
dileğim var
ömrüm senin yar benim olsun
yar benim olsun
yar
yarim dünyama
gelseydim
sevdama
vazgeçemem senden
kalbimin
cennet gibisin
olsan
benden gidemezsin
kalbimi iste al senin olsun
dünyan benle yar dolsun
dileğim var
ömrün senin al senin olsun
kalbimi iste al senin olsun
dünyan benle yar dolsun
dileğim var
kalbin benim yar benim olsun
yar benim olsun
yar
kalbimi iste al senin olsun
dünyan benle yar dolsun
dileğim var
ömrün senin yar senin olsun
yar
",pop
754,Orhan Ölmez – Sen Bilirsin,"bilirsin
kimlerle yol alacaksın
kimlerle yaşlanacaksın
kimlerle öleceksin
bilirsin
bilirsin
nehirde yüzeceksin
çölde yeşereceksin
toprağa düşeceksin
bilirsin
seni seven kalbim
okyanus derin
i̇ster girip yüzersin
i̇ster bakıp geçersin
gönül bahçem senin
bilirsin
i̇ster ekip biçersin
i̇stersen harca gitsin
seni seven kalbim senin
okyanus derin
i̇ster girip yüzersin
i̇ster bakıp geçersin
gönül bahçem senin
bilirsin
i̇ster ekip biçersin
i̇stersen harca gitsin
",pop
755,Sezen Aksu – Muhabbet Kuşları,"kapı çaldı
gelen var
beklemedeyiz
hatıralar
geldi
sessizlik bağırmıştır
zaman geçti
eski komşular
muhabbet kuşları öten
kızılcıklar
kaçıncı tren
anam anam anam
unutulduk
defter aralarında kurutulduk
",pop
756,Fettah Can – Kalakaldın mı?,"elimden gelen
ardına koymayanlardanım
baktığın yerde
bakmadıklarındayım
an meselesi
aklının ücrasıyım
dön hakkım sandığın yandığınım
sınandın sevdiğinle
i̇çin ayrıldın
kelime etmeden göz göze gelmeden
gerçek diyemeden
kalakaldın
",pop
757,Onur Şan – Hadi Ben Kaçtım,"uyusam sensizlik geçer
ayrılık mirasım varisi benmişim halim beter
uyu rahatça fakir hasadını biçer döver
kaçtım uyumaya
uyuya uyuya seni unutmaya
aşk yükünü sırtlana sırtlana
seni raflara kaldırmaya
tuttururum
eee benim yaşlı gözlerime
gelir geçer
dahakine aşkı unuturum
",pop
758,Ebru Keskin – Kelepçe,"yıktın duvarlarımı öremiyorum
sende zerre aşk göremiyorum
sever kalbim
hasretinle biter harbim
yalanlarına
tahammül edemiyorum
yüreğime vurdum kör bi kelepçe
sana dönmeme var gerekçe
ayrılık kararım dilekçe
sana dönmüyorum
",pop
759,Karsu – Eller Gibiyim,"bütün yalan olsa anda
ayrılığı görmüş olsam rüyamda
terkedilmiş evler gibiyim
odalarım
sofam ıssızpencere körduvarlar bomboş
eller eller eller
eller gibiyim
kendisine sarılmış seller gibiyim
yağmalanmış yerler gibiyim
sıla gurbet
bütün günler anda
gonca gülle soldu aynı zamanda
terkedilmiş evler gibiyim
odalarım
sofam ıssızpencere körduvarlar bomboş
",pop
760,Engin Eren – Aşk,"söyle
onu severken beni sevdin
kalp
yürek can atar
yüreğim yanar
aşk seni beni yaralar

kişi kaldı aşka sadık olan
gerçeği bulup mutlu kalan
kör müydü gözlerim
çek git
yalandı sözlerin aldattı gözlerin
bulamıyorum çıkış yolu
herhalde geldik yolun sonu
koydum bavulunu al git
bitti sayende aşk oyunu
",pop
761,Merve Gündoğdu – Kutla,"güneşini bulutunu aldım yanıma
uçuyorum konuyorum gökyüzünün dalına
uzandım yanına masalımı yaşıyorum
üzüntümü kederimi koydum kapıya
çekiyorum çıkıyorum yolculuk yarına
i̇nandım sana koşar adım geliyorum
asık yüzüm çatık kaşım ele güne dik bakışım
beni seve seve değiştirdin başarını kutla
yalanı dolanı kovdum
doğrusunu buldum
yüreğime bi sordum
seni seviyor seni seviyor
kaçanı göçeni gördüm
sona varıp başa döndüm
bugünüme bi baktım güldüm
beni seviyorsun beni seviyorsun
üzüntümü kederimi koydum kapıya
çekiyorum çıkıyorum yolculuk yarına
i̇nandım sana koşar adım geliyorum
sözüm küfürüm hayatla kavga gürültüm
bana gele gele yatıştırdın kendini kutla
yalanı dolanı kovdum
doğrusunu buldum
yüreğime bi sordum
seni seviyor seni seviyor
kaçanı göçeni gördüm
sona varıp başa döndüm
bugünüme bi baktım güldüm
beni seviyorsun beni seviyorsun
",pop
762,Şahin İnan – Cennetten Çiçek,"bi başıma koyup gitme yar
önümüzde baharlar var
aldanma geçer ayazlar
sensiz bana dünya
kapanmıyor açtığın yaralar
hesabını sorar yaradan
acılara yürüyor korkmuyorum
arada kalbini yokluyorum
cennetten çiçek topluyorum
herkesi kokluyorum
kollarda
sana sarhoşum yollarda
kaybolmuş bi gençliğim
alacaklıyım yıllardan
bi başıma koyup gitme yar
önümüzde baharlar var
aldanma geçer ayazlar
sensiz bana dünya
kapanmıyor açtığın yaralar
hesabını sorar yaradan
acılara yürüyor korkmuyorum
arada kalbini yokluyorum
cennetten çiçek topluyorum
herkesi kokluyorum
kollarda
sana sarhoşum yollarda
kaybolmuş bi gençliğim
alacaklıyım yıllardan
yolum yokuş karanlık
derdime dert ekleme dön
gittiğinden peşimde yalnızlık
dost düşman tanıdık
yalancı sözlere inandık
güvendik olur olmadık
acılara yürüyor korkmuyorum
arada kalbini yokluyorum
cennetten çiçek topluyorum
herkesi kokluyorum
kollarda
sana sarhoşum yollarda
kaybolmuş bi gençliğim
alacaklıyım yıllardan
",pop
763,Gökhan Türkmen – Aşkın Enkazı,"anladım vazgeçtin çoktan
söylemen yeterdi
gülleri solan bahçe bana kalan
kadarı yeterli
bütün şarkılarda kendini mumla ara
atıyorum içime sıkıştı kaldı kalbimde
yıkıp gittiğin enkazı
",pop
764,Ayşe Hatun Önal – Efsane,"sıraya dizdin
yazdın çizdin
bulaştık sayende çoktan olaya
kaynadık araya…
yaşıyoruz irtifa kaybı
dinletemiyorum derdimiz aynı
kurtlar geziniyor etrafımda
kendime geliyorum huzurunda
yandık yanıyoruz görmez
i̇stemedekçe iş işten geçmez
kendimize gelmeye müsade
doğuyorum efsane
efso efso aaaa efso
soldan bahane
yola çıkıyoruz
bi müsade
nefes alıyoruz
yaşıyorsun günün aynı
dinletemiyorum tehlike anı
kurtlar geziniyor etrafımda
kendime geliyorum huzurunda
yandık yanıyoruz görmez
i̇stemedikçe iş işten geçmez
kendimize gelmeye müsade
doğuyorum efsane
efso efso aaaa efso
",pop
765,Aziz Kiraz – Fransız,"değişmiyor huyun suyun
günün yalansız
buyum
konuya fransız
puan verirdim oyuncu olsan
takılma masum
gerildin
üstünden uzatma
mutluyum mutluyum
anlatılmaz imkansız
arkamdan neler duydum
düşman mısın vicdansız
değişmiyor huyun suyun
günün yalansız
buyum
konuya fransız
",pop
766,Mithat Can Özer – Ateş Böceği,"kalbimi kopardılar
bilir kez
hakkım şikayete
lades
acısından beslendim
gün bitmez miydi
edepsiz heves
acısından beslendim
yaza koyar güz beni

aşk aşk çekmedim
bana hicazkar
körpe yar efkar
giden gitti ateş böceği
şarkını söyle sazını çal
i̇nsan kere tutar
yandıkça ateşi
git gide fark etmiyor
yaranın üçü beşi
tövbe bilir gönül biter öfkesi
uçar uçar düşer kalbe
kuş sürüsü
sıra senin üz beni
yaza koyar güz beni

aşk aşk çekmedim
bana hicazkar
körpe yar efkar
giden gitti ateş böceği
şarkını söyle sazını çal
",pop
767,Rençber – Bir Ara Bir Sor,"kar yağıyor saçlarıma
sensizliğin yükü omuzumda
düşen damlada seni hatırlatır
yürüdüğümüz sokaklar
pencereden sızan rüzgar
geldi geçti yıllar
anlatabilsen seni
anlar
ara sor
bunun
ara sor
bunun
bekliyorum dönmeni
olur
",pop
768,Beyza Doğuç – Cesaretin Var mı Aşka,"gün çılgınlık edip
seni sevdiğimi söylesem
alay edip güler misin
sever misin
cesaretin var aşka
çarpıyor kalbim
sevsen
desen bana yar
konuşmadan gözlerinle
beni sevdiğini söylesen
yüreğime gözlerini
ölene mühürlesem
",pop
769,Cem Belevi – Farkında mısın?,"atsan atılmaz satsan satılmaz
aşk dert yarası var
kapanmaz
onun alında yazısı var
diner biter
umrumda fark eder
acın dert
bana olman yeter
farkında mısın
aylar geçti senden haber almadım
farkında mısın
zamandır sesini duymadım
mısın
tendemi dudakların
koynunda mısın
boşver sormadım
",pop
770,Selçuk Şahin – Kime Gider Kalbim,"seviyorum seni anlama beni
denedim geçmiyor günlerim sensiz gecelerim
olmuyor yakışmıyor
ayrılık ikimize yakışmıyor
kime gider kalbim
koyar
atar senden birine söyle
vazgeçerim kendimden senin
seviyorsa kere hazırım ölüme
bi gün sensiz geçiyor
gülüm sensiz olmuyor acıyor
bi kenarda sensiz yanıyor
yanıyor yanıyor
ayrılık ikimize yakışmıyor
kime gider kalbim
koyar
atar senden birine söyle
vazgeçerim kendimden senin
seviyorsa kere hazırım ölüme
",pop
771,Cihan Çakan – Sorma,"beni anlamıyorsun
derdimi dinlemiyorsun
söyledim kere
senle yapamıyorum
kimseyi istemiyorum
gözyaşımı gizlemiyorum
anladım
mutlu olamıyorum
kısacık ömrümü kısaltma
bendeki saygını azaltma
hak ver canımı yakma
ola yoluma çıkma
sorma olur benim halimi
sorma gözümdeki halini
ayrılığın bi galibi
çık git hayatımdan beni yorma
",pop
772,Barış Manço – Gülpembe,"gülünce güller açar gülpembe
bülbüller seni söyler
dinlerdik gülpembe
gelince gelir gülpembe
dereler seni çağlar
sevinirdik gülpembe
güz yağmurlarıyla gün göçtün gittin
i̇nanamadık gülpembe
bizim iller bizim iller sensiz
olamadı gülpembe
dudağımda türkü gülpembe
seni söyler seni çağırır gülpembe
güz yağmurlarıyla gün göçtün gittin
i̇nanamadık gülpembe
bizim iller bizim iller sensiz
olamadı gülpembe
dudağımda türkü gülpembe
seni söyler seni çağırır gülpembe
gözlerimde umut gülpembe
seni arar seni bekler gülpembe
",pop
773,Dilan – Maalesef,"kapattım penceremi kapılarımı
sürgülerini çektim
sana olan aşkımı yenebilmek
numaralar çektim
olmadı kalbim durmadı
düşmüş eline kez sevdanın
kaçmaya yol olmalı
onu sormalı kökünü bulmalı
acımadan işin turşusunu kurmalı
i̇nadı bırak yanıma yanaşıver
batacağımız içine battık
aşk denilen buymuş
duyguymuş
ona inanların hali buymuş
kapandım evimin odamın içine
seni düşünmeyecektim
unutacak seninle olan anıları
olduğun yere gitmeyecektim
olmadı kalbim durmadı
düşmüş eline kez sevdanın
kaçmaya yol olmalı
onu sormalı kökünü bulmalı
acımadan işin turşusunu kurmalı
i̇nadı bırak yanıma yanaşıver
batacağımız içine battık
aşk denilen buymuş
duyguymuş
ona inanların hali buymuş
",pop
774,Ardem – Güle Güle,"dışı görür içini bilirim yalana kanmam
gerekirse kalemde siler giderim yolumdan şaşmam
dışı görür içini bilirim yanına kalmaz
gerekirse kadehte çeker giderim kusura bakma
oyun bitti ışık yandı
aşk vardı oda yalandı
kumar bitti giden gitti
yerin çoktan kapıldı
havandasın serine serine
çek yollarını dön evine
sığlardasın inme derine
canım sana güle güle
",pop
775,Tuğçe Kandemir – Yokluğunda,"kaybet öfkeni
i̇çinde sakladığın
terk et derdini
benden almadığın
sabret sonu aynı
söylüyorum
dinle rüyaların gün aynı
olmayacak
vazgeçersen geriye döneceksin
gitme kaybedince seveceksin
biliyorum anlamı
yokluğunda yokluğunda yokluğunda…
kaybet öfkeni
i̇çinde sakladığın
terk et derdini
benden almadığın
sabret sonu aynı
söylüyorum
dinle rüyaların gün aynı
olmayacak
vazgeçersen geriye döneceksin
gitme kaybedince seveceksin
biliyorum anlamı
yokluğunda yokluğunda yokluğunda…
yokluğunda yokluğunda yokluğunda…
",pop
776,Ece Mumay feat. Fırat Çavaş – Yol Arkadaşım,"yol arkadaşım gördün
duydun olup bitenleri
kıskanıyor insan
basıp gidenleri
yalnızlaşmışız iyice
alışmışız
beklentimiz kalmamış
dosttan
korkular basmış dünyayı
semt adı “vefa”
kutsal kavgalardan
kaçan kaçana
anlaşılır değiliz
bedende kişiyiz
eden tanık
esaslı karmaşa
sana küsüm haberin
koyup gittiğin yerde kötülük
kime kızayım nazım senden kime geçer
benim sensiz kolum bacağım ocağım
sana küsüm haberin
koyup gittiğin yerde kötülük
kime kızayım nazım senden kime geçer
benim sensiz kolum bacağım ocağım
yol arkadaşım gördün
duydun olup bitenleri
kıskanıyor insan
basıp gidenleri
yalnızlaşmışız iyice
alışmışız
beklentimiz kalmamış
dosttan
korkular basmış dünyayı
semt adı “vefa”
kutsal kavgalardan
kaçan kaçana
anlaşılır değiliz
bedende kişiyiz
eden tanık
esaslı karmaşa
sana küsüm haberin
koyup gittiğin yerde kötülük
kime kızayım nazım senden kime geçer
benim sensiz kolum bacağım ocağım
sana küsüm haberin
koyup gittiğin yerde kötülük
kime kızayım nazım senden kime geçer
benim sensiz kolum bacağım ocağım
",pop
777,Simge – Yalnız Başına,"edip hayatın karşısında
öylece kalakaldım
seyredip durdum eskide varsa
bende saklı

bakalım doğruymuş
olur
başına başına
yalanlarında masum muymuş
seni sevmek
başına başına
",pop
778,Mehmet Erdem – Sen De Vur Gülüm,"kırık şişe
gözyaşı
kül olmuş anılarım
odam
akşamlarım
gitar hayal dostlarım
yaşadığım fırtınalarda
limandın demir attığım
vur gülüm
aşkından heba olsa gönlüm
vur gülüm
olmazsan neye yarar kalan ömrüm
vur gülüm
hayatım senden uzak kördüğüm
",pop
779,Yasmin Schmidt – Bitter,"beni sevdin
krizin geldi
neydi derdin
düştüm aklına
nede neşelisin
hasta oldun neyin var
neydi derdin
düştüm aklına
çiçekler saksı olmaktan sıkıldım
gülüşler fıkra olmaktan sıkıldım
bana getirdin
teşekkür ederim
unutmuşsun
bitter severim
ayıp
dışı sevgi kaplı içi mutluluk
anladım canım
sanırım unutmuşsun
beni karıştırmasana
nede neşelisin
hasta oldun neyin var
neydi derdin
düştüm aklına
çiçekler saksı olmaktan sıkıldım
gülüşler fıkra olmaktan sıkıldım
bana getirdin
teşekkür ederim
unutmuşsun
bitter severim
ayıp
bi gidemedin
sana dedim

bitter severim…
",pop
780,Batuhan Tüfekçi – Veryansın,"dur gelme aklıma
hafızam dolu gülüşün bakışınla
bıraktığın hasar duruyor bak karşımda
sevgi taneleri eriyor avucumda
ver i̇stanbul sevmeyenler utansın
yüreğimdeki yangın hatıranla kapansın
büyük hatamdın olmasaydın
kaybettin beni herkese veryansın
dur gelme aklıma
hafızam dolu gülüşün bakışınla
bıraktığın hasar duruyor bak karşımda
sevgi taneleri eriyor avucumda
ver i̇stanbul sevmeyenler utansın
yüreğimdeki yangın hatıranla kapansın
büyük hatamdın olmasaydın
kaybettin beni herkese veryansın
",pop
781,Tuğçe Kandemir – Rica Ederim,"i̇nanmıyorum ayrıldık
kime aldandık
kara sevdaydık
seninle dağlara ferman
dillere destan
ellere hüsran
i̇çime sığmıyor derdim kederim
özledim yemin ederim
bilsen çarpıyor yüreğimde ellerim
sığmıyor derdim kederim
özledim yemin ederim
bilsen çarpıyor yüreğimde ellerim
sevgilim “bitti aşk hoşça kal” diyorsun
olsun dağ çeker giderim
üzüntü yaratma
ömrümü verdim yollarına serdim
önemi rica ederim
sevgilim “bitti aşk hoşça kal” diyorsun
olsun dağ çeker giderim
üzüntü yaratma
ömrümü verdim yollarına serdim
önemi rica ederim
bekliyorum olur
kapı çalar beni arar
onunla dağlara ferman
dillere destan ellere hüsran
i̇çime sığmıyor derdim kederim
özledim yemin ederim
bilsen çarpıyor yüreğimde ellerim
sığmıyor derdim kederim
özledim yemin ederim
bilsen çarpıyor yüreğimde ellerim
sevgilim “bitti aşk hoşça kal” diyorsun
olsun dağ çeker giderim
üzüntü yaratma
ömrümü verdim yollarına serdim
önemi rica ederim
sevgilim “bitti aşk hoşça kal” diyorsun
olsun dağ çeker giderim
üzüntü yaratma
ömrümü verdim yollarına serdim
önemi rica ederim
",pop
782,Öykü Gürman – Düşün Beni,"düşün beni ayrılsa yollar
düşün beni geçse yıllar
düşün beni
zalimin zulmüyle
kağıt kaleme tapana
sende yanana
bi kez
açıp eski satırları oku
aşkı kendini kaybettiğin koku
tende
rastladın dengine dengine
sustuğum
cümleler haykırışım

bizi bulmaya çalıştığın tende
geçmiyorsa söz kalbine kalbine
düşün beni düşün beni düşün beni
zalimin zulmüyle
kağıt kaleme tapana
sende yanana
yazar bizi tarih yazar
unutulur sanma ihanet
kederi unutmak olur
gönül sabret gönül sabret
ellerimden ellerini çek unut beni
deseler sevgi yoktu göster şahit beni
etme şair etme yazar avut beni
denedim olmadı n’olur unut beni

düşün beni ayrılsa yollar
düşün beni geçse yıllar
düşün beni
zalimin zulmüyle
kağıt kaleme tapana
sende yanana
",pop
