id,baslik,sarki_sozu,sarki_turu,eski_turkce_kelime_orani,fiil_orani,sifat_orani,zarf_orani,baglac_orani,unlem_orani,soru_orani,bilinmeyen_orani
695,Yıldız Tilbe – O Benim Aslanım,"yağmurlara rüzgârlara salıncak kurar
düşen yıldızları o yerine koyar
dağlarda çiçek denizlerde yollar açar
olağanüstü payıma düştü
öyle bir sevdi ki eridim
bu kadar olmaz eşi bulunmaz
o benim aslanım
o zaman olsun içime doğsun
sararıp solmasın adamım
bu gönül aşka gözünü açtı
bir daha uyumasın
gül yüzlü güzel
sensiz ne güzel
her şeyden uzak
senin yakınlığın yeter
senin olmadığın yerde
bana ne yeter
hem çöl hem su yalan değil doğrusu
umurumda değil mesafeler
ne fark eder
sen hiç güneşin gözlerini gördün mü
olağanüstü payıma düştü
öyle bir sevdi ki eridim
bu kadar olmaz eşi bulunmaz
o benim aslanım
o zaman olsun içime doğsun
sararıp solmasın adamım
bu gönül aşka gözünü açtı
bir daha uyumasın
",pop,0.11,0.25,0.1,0.06,0.03,0.0,0.01,0.0
696,Soner Arıca – Adın Bahardı,"kente yanlızlık gelirdi sen uyuyunca
yüzümde mevsim değişirdi uyandığında
bilmezdin gizliden seni sevdiğimi
aşkın içimde solardı adın bahardı
eteğini koştururdun sokağımızda
sokak sus pus olur sana bakardı
bilmezdin gizliden izlediğimi
gözlerim gözlerinden korkardı
hatırlıyorum adın bahar’dı
sokakta bir bayramdı durakta bekleyişin
sanki sonsuz bir ayrılıktı okula gidişin
bilmezdin seni her sabah yolcu ettiğimi
yüreğim yol boyu ardından ağlardı
hatırlıyorum adın bahar’dı
",pop,0.06,0.31,0.02,0.05,0.0,0.0,0.0,0.0
697,Can Oflaz – Vazgeçtim,"vazgeçtim gözlerinden
vazgeçtim sözlerinden
bir ah de yeter
sessizce kimsesizce
gönderdim dudaklarımı
öpme al yeter
hiç tanımaz tenim ellerini
bilmez yüreğim bilmez yüreğini
ah bu koku bu ten bu dokunuş
ah bu delilik sarsar bedenimi
yok olmak anıdır şimdi
vazgeçtim gözlerinden
vazgeçtim sözlerinden
bir ah de yeter
sessizce kimsesizce
gönderdim dudaklarımı
öpme al yeter
hiç tanımaz tenim ellerini
bilmez yüreğim bilmez yüreğini
ah bu koku bu ten bu dokunuş
ah bu delilik sarsar bedenimi
yok olmak zamanı şimdi
",pop,0.19,0.24,0.08,0.08,0.03,0.0,0.0,0.0
698,Özcan Deniz – Aşk,"aşk seni henüz tanıdığımda
ben ömrümün daha ilk baharında
bırakmıştım kendimi kucağına
aşk kana kana zehirinden içtim
her yanım yara bere senden geçtim
öldüm ama şimdi iyiyim
aşk onuda alma şimdi benden
biliyorum bu olacak gelirsen
bırakmazsın sen bizi öldürmeden
aşk kalan ne varsa bir tek ona kaldı
artık sevmek derdimin tek dermanı
seni de yaşadım bırak şimdi
bırak onu seveyim
kör etmede göreyim
sen olmasan da olur aşk
bırak onu seveyim
zaten hayat zor bana
daha da zorlaştırma
huzuruma bir kapı aç
bırak onu seveyim
",pop,0.14,0.28,0.07,0.1,0.05,0.0,0.0,0.01
699,Tuğba Özerk – Hergele,"ben tabanca sen kurşun
azken bile ne çoksun
düşünülemez sensiz bi’ ben
ecelime kadar kaderim oldun
hazırladım ben özrünü
alırım o güzel gönlünü
bana o kadar aşkın geçti
senin bi‘ hüznüne yakarım ömrümü
üzüyorsam seni oda aşkımdan
geliriz ayrılığın hakkından
dikenin zararı güle değil ele
yüreğim dağ gibi aklım hergele
ben senim seninim hala
gözlerimde bir mana
birinde yoksan birinde varsın
süzülüp aynama kendini ara
akacak aşk kalpte durmaz
bensiz olur sensiz olmaz
kendimi göğsünde kaybettim
ara da bu hadi kaderi hokkabaz
",pop,0.07,0.21,0.07,0.06,0.01,0.01,0.0,0.05
700,Maher Zain & Mustafa Ceceli – O Sensin Ki,"o sensin ki aşkın yolu
en muhteşem allah kulu
i̇nsanlığa dogru yolu
sen gösterdin ey muhammed
chorus
o sensin ki aşkın özü
yaradanın bakan gözü
i̇nsanlığın en son sözü
senin dilinden muhammed
o sensin ki bilinmeyen
ama her yerde görünen
uzun yavaş hep gidilen
senin yolundur muhammed
chorus
o sensin ki aşkın özü
yaradanın bakan gözü
i̇nsanlığın en son sözü
senin dilinden muhammed
senin dilinden muhammed
",pop,0.09,0.09,0.09,0.06,0.08,0.02,0.0,0.09
701,Oğuzhan Koç – Aşkla Aynı Değil,"senin adın aşkla aynı değil
kimseye bitene değin
sabretmem
geri adım atmak hiç bana göre değil
üzgünüm ölene değin
affetmem
elimde bir tek gururum
i̇çimde biten umudum
yüzümde bir kaç çizgi daha
akıl hepsini unutur elbet
yüreğime desem hep ha gayret
teselliler yetmez bana
i̇nanmam
kim bile bile yok sayar tüm hatalarını
ben saydım
göz göre göre gittiğin o kör kuyuları
sana anlattım
bir bilene sor gözyaşı biter mi
bir gün akar bir gün dinmez mi
harcadığın bir ömür sana yetmez mi
kim bile bile yok sayar tüm hatalarını
ben saydım
göz göre göre gittiğin o kör kuyuları
sana anlattım
bir bilene sor gözyaşı biter mi
bir gün akar bir gün dinmez mi
harcadığın bir ömür sana yetmez mi
˚˚˚
senin adın aşkla aynı değil
kimseye bitene değin
sabretmem
geri adım atmak hiç bana göre değil
üzgünüm ölene değin
affetmem
elimde bir tek gururum
i̇çimde biten umudum
yüzümde bir kaç çizgi daha
akıl hepsini unutur elbet
yüreğime desem hep ha gayret
teselliler yetmez bana
i̇nanmam
kim bile bile yok sayar tüm hatalarını
ben saydım
göz göre göre gittiğin o kör kuyuları
sana anlattım
bir bilene sor gözyaşı biter mi
bir gün akar bir gün dinmez mi
harcadığın bir ömür sana yetmez mi
kim bile bile yok sayar tüm hatalarını
ben saydım
göz göre göre gittiğin o kör kuyuları
sana anlattım
bir bilene sor gözyaşı biter mi
bir gün akar bir gün dinmez mi
harcadığın bir ömür sana yetmez mi
kim bile bile yok sayar tüm hatalarını
ben saydım
göz göre göre gittiğin o kör kuyuları
sana anlattım
bir bilene sor gözyaşı biter mi
bir gün akar bir gün dinmez mi
harcadığın bir ömür sana yetmez mi
",pop,0.13,0.19,0.1,0.07,0.01,0.0,0.05,0.02
702,Yıldız Tilbe – Arayacaksın Ayrılınca,"seve seve ayrılmak istiyorsun sen
bana göre yanlışa doyamıyorsun sen
şimdi aşk diye delireyim mi ben
saf bir şaşkına kırayım mı dümen
sorularım var cevapta beklemem
full bahaneler hazır binbir neden
git de o içini bir yaksınlar
aklını havada bıraksınlar
sende öğren ağlamayı aşka
seni de seve seve unutsunlar
git de o içini bir yaksınlar
aşkını kapıda bıraksınlar
sende öğren ağlamayı aşka
seni de seve seve unutsunlar
deli gibi aşığım oysa
aklın başına mı gelecek ayrılınca
deli gibi aşığım oysa
gölgemi bile arayacaksın ayrılınca
yanıyorum ateşimi söndürmüyorsun sen
peşine düşüyorum saklanıyorsun sen
komple aşk dolu bir senelik rüya
kaşla göz arası yanlış yoktu güya
dile kolay da değil aslında
kapı ardında ceketin askıda
deli gibi aşığım oysa
gölgemi bile arayacaksın ayrılınca
deli gibi aşığım oysa
aklın başına mı gelecek ayrılınca
deliler gibi aşığım oysa
aklın başına mı gelecek ayrılınca
deliler gibi aşığım oysa
gölgemi bile arayacaksın ayrılınca
",pop,0.07,0.21,0.07,0.08,0.08,0.0,0.03,0.0
703,Aysel Yakupoğlu – Ne Bilsin Eller,"sabahın seheri esiyor yeller
benim sana yandığımı ne bilsin eller
ne bilsin eller ne bilsin eller
sevdana düşeli geçmiyor günler
benim sana yandığımı ne bilsin eller
ne bilsin eller ne bilsin eller
duydum ki hep beni konuşur diller
benim sana yandığımı ne bilsin eller
ne bilsin eller ne bilsin eller
",pop,0.04,0.26,0.18,0.04,0.02,0.0,0.0,0.0
704,Sancak – İnat,"beni kandırdın seviyorum diyerek
körü körüne inandığımı adın gibi bilerek
uykumdan uyandırdın en güzel yerinde
dostlarımdan utandım halime üzülerek
her şey sende kalsın bana yalnız beni bırak
güneşim doğmaz zaten mevsimler yok artık
aklım sende kalsın dayanırım bana bırak
ellerimdeki izler duvarlara vurarak
i̇çimde kopan fırtınaya inat
yalanlarına inat
seni bekliyorum
yanında uyandığın kimselere inat
bu gururuma inat
seni özlüyorum
seni kandırdım gidiyorum diyerek
geri dön demeyeceğini adım gibi bilerek
uykumdan uyandırdın en güzel yerinde
dostlarımdan utandım halime üzülerek
her şey sende kalsın bana yalnız beni bırak
güneşim doğmaz zaten mevsimler yok artık
aklım sende kalsın dayanırım bana bırak
ellerimdeki izler duvarlara vurarak
i̇çimde kopan fırtınaya inat
yalanlarına inat
seni bekliyorum
yanında uyandığın kimselere inat
bu gururuma inat
seni özlüyorum
",pop,0.02,0.23,0.08,0.12,0.0,0.0,0.0,0.02
705,Ali Güven – Yadigar,"ne varsa gönlümde sen aldın götürdün yar
bu hüzün bana senden yadigar
i̇çimde ağlayan bir çocuk bıraktın yar
bu acı bana senden yadigar
bu gece canım yalnız kalmak istiyor
her şeyden uzak her sözden gözden uzak
bu gece canım yalnız kalmak istiyor
hiçbir şey konuşmadan insandan dosttan uzak
böyle değildim ben sensizliği bilmeden
bu garip huylar senden yadigar
ne varsa gönlümde sen aldın götürdün yar
bu hüzün bana senden yadigar
i̇çimde ağlayan bir çocuk bıraktın yar
bu acı bana senden yadigar
",pop,0.06,0.14,0.12,0.01,0.0,0.0,0.0,0.02
706,Güney Marlen – Dokunmasınlar Bana,"güney marlen – dokunmasınlar bana şarkı sözleri 
bu aşk küçük bir kutuymuş
anılarla dolmuş
bu aşk küçük bir kutuymuş
ağırlaşmış zamanla
kopmuş altı bi’ anda
kırılan bi’ kumbara
hiç emekler gider mi boşa
dokunmasınlar bana
kimse öyle kokmuyor
sevmesinler beni
kırılan bi’ kumbara
her şey yolunda gibiymiş
aşk altımızda bi’ halı
isıtmış hep ayaklarımızı
birden çekmişler altımızdan
düşmüşüz ayrı ayrı
aşk komada ve iki yaralı
dokunmasınlar bana
kimse öyle kokmuyor
sevmesinler beni
kimse gerçek sevmiyor
",pop,0.12,0.23,0.13,0.04,0.01,0.0,0.01,0.13
707,Zeynep Doruk – Unutmasınlar Aşkım,"günah olsaydı olmazdı koku
yasak olsaydı görmezdi gözler
i̇kimiz de bunu anlasak da onlar anlamaz
çoktan yazılmış aşkın yasası
bu kimin kalemi
kimin kitabı
kimler tutar bu zalim hesabı
unutmasınlar bizi aşkım
affetmesinler bizi aşkım
hesabı bir tek tanrı’ya aşkın
unutmasınlar bizi aşkım
",pop,0.07,0.26,0.07,0.0,0.05,0.0,0.0,0.02
708,Sezen Aksu – Aşkları da Vururlar,"gel bana kalbini göster ne olur
sen değilsin bu sudaki aksin
hadi gel kader değil bu
hepimize öğretilmiş öfkeler
ne olur teslim olma gel
bu kızgın bu kalp kıran eller
bir zaman bebektiler
hadi gel aslını göster
suretin çok zalim
çok mu üzdüler seni
sahiplenme senin değil bu dikenler
sözlerin hançer
yareler açar yareler gülüm
sür gözlerinin namlusuna
sür beni aşktan olsun ölümüm
aşkları da vururlar
şarkıya şiir olur
adanır sonsuz anısına
kanayan sevdanın
eyvah şiirler azalmış
günümüz perişan
yanıyor içimizdeki
koskoca orman
",pop,0.05,0.29,0.11,0.04,0.01,0.02,0.01,0.0
709,Miraç – Kadere Bağlayamam,"ne günler sayılır
ne yaralar sarılır
kalbim hep darılır
aşkta şanssız anılırx2
güneşim doğmuyor
yalvardım olmuyor
tanrım verdiğin bu derde
yürek dayanmıyorx2
ben asla
kalamazdım bu aşkla sonsuza
yaşar yüreğim artık onsuz da
teselliyi başka bir omuzda
arayıp ağlayamam
aslında
bırakıp gitti derbeder etti
tenimi kendine tuzak etti
yaşattığın onca acıyı ben asla
kadere bağlayamam
güneşim doğmuyor
yalvardım olmuyor
tanrım verdiğin bu derde
yürek dayanmıyor
ben asla
kalamazdım bu aşkla sonsuza
yaşar yüreğim artık onsuz da
teselliyi başka bir omuzda
arayıp ağlayamam
aslında
bırakıp gitti derbeder etti
tenimi kendine tuzak etti
yaşattığın onca acıyı ben asla
kadere bağlayamam
kalamazdım bu aşkla sonsuza
teselliyi başka bir omuzda
bırakıp gitti derbeder etti
yaşattığın onca acıyı ben asla
kadere bağlayamam
",pop,0.1,0.24,0.08,0.13,0.02,0.0,0.0,0.02
710,Güncel Gürsel Artıktay – Uzak Yol,"güneş doğdu avuçlarımda bahar yüzümde
hayat okşar ruhumu derinlerde
bilen var mı aklım nerede alıp götürdün
sormak gelir içimden rüzgar mısın aşk mısın
bir uzun yoldan geldim ardım bomboş
aşk yolundan dönmem derdim kimler sarhoş
bir bakarsın uzaklardan bahar yüzümde
çıkar mı bu yollar ona kim bilir nerede
bir uzun yoldan geldim ardım bomboş
aşk yolundan dönmem derdim kimler sarhoş
bir uzun yoldan geldim ardım bomboş
aşk yolundan dönmem derdim kimler sarhoş
",pop,0.15,0.18,0.14,0.01,0.0,0.0,0.06,0.0
711,Ayçin Asan – Çok Zor,"ben seni bir kere bile öpmedim ki
varlığım sanki hep senindi
bir gülüş bir bakış bekledim durdum
bir selamın gelmedi
alın yazım saklanır kaderimde
sen benimsin yalnız hayallerimde
aşkın beni çözen tek cevapsız bilmece
biliyorsun değil mi
çok zor aşk bu
yok ki karşılığı sende
çok zor aşk bu
yok ki benzeri
çok zor aşk bu
yok ki karşılığı sende
çok zor aşk bu
yok ki benzeri
ben sana hiç ihanet etmedim ki
başka kimseyi düşünmedim ki
bekledim özledim küstüm barıştım
kalbim hep seninleydi
alın yazım saklanır kaderimde
sen benimsin yalnız hayallerimde
aşkın beni çözen tek cevapsız bilmece
biliyorsun yazık ki
çok zor aşk bu
yok ki karşılığı sende
çok zor aşk bu
yok ki benzeri
çok zor aşk bu
yok ki karşılığı sende
çok zor aşk bu
yok ki benzeri
çok zor aşk bu
yok ki karşılığı sende
çok zor aşk bu
yok ki benzeri
çok zor aşk bu
yok ki karşılığı sende
çok zor aşk bu
yok ki benzeri
",pop,0.21,0.12,0.24,0.11,0.1,0.0,0.01,0.0
712,Hande Ünsal – Daha İyi,"yalan değil
i̇yi değilim delirir gibi
fotoğraflara sarılıp ağladığım doğru
yalan değil çalan kapıya telefona
sen sanıp koşa koşa gittiğim doğru
yalan değil
yalan değil
yalan değil
dön diye ölüyorum ama
dönmesen daha iyi
hala çok seviyorum çok seviyorum ama
sevmesem daha iyi
sana bir şans daha vermek
sonuma imza olur
elini bir daha tutmaktansa
ölürüm daha iyi
",pop,0.05,0.31,0.1,0.17,0.03,0.0,0.0,0.02
713,Feride Hilal Akın – Kim,"kim fani kim sahi
kim şahidimdir bekledim kendim olan halim
dinlemeyip geçtiler üstümden
tam tahminim gibi
bir mana bul al beni
ruhum bedenimle yaratır bir armoni
sar çevremi bütün evreni sar dengimi
en dengine dengi dengime
en derine kendi bildiğime
en rengine en rengine
bilmediğim bir denizde
en dengine dengi dengime
en derine kendi bildiğime
en rengine en rengine
kim fani kim sahi
kim şahidimdir kim kim kim kim şahidim
kim fani kim sahi
kim şahidimdir kim kim kim kim şahidim
aynalardan kaçıyoruz hep aynılara doğru
kalıplara sığınıyoruz yok mu bunun olur yolu
kim fani kim sahi
kim şahidimdir bekledim kendim olan halim
dinlemeyip geçtiler üstümden
tam tahminim gibi
bir mana bul al beni
ruhum bedenimle yaratır bir armoni
sar çevremi bütün evreni sar dengimi
en dengine dengi dengime
en derine kendi bildiğimle
en rengine en rengine
bilmediğim bir denizde
kim fani kim sahi
kim şahidimdir kim kim kim kim şahidim
kim fani kim sahi
kim şahidimdir kim kim kim kim şahidim
",pop,0.07,0.12,0.06,0.13,0.0,0.0,0.01,0.0
714,Mirac – Kaç Gemi Battı,"kaç gemi battı kaç sefer öldüm
kaç kez kaybettim kaç beni öldürdüm
derde dürüldüm tenine gömüldüm
aşkın şarabından  deliye döndüm
kederime gülerim ben yarim
kaderime dost ahvalim
ne acılarıma küstüm ne
ne de kaldı bi mecalim
dağları aştım hep başımda duman
aradım taradım bulmadım derman
olmadı halime kimse tercüman
yolun sonuna dek aynıyım inan
hep inandın bana kesmedin ümidi
batmadım batağa uzattın ipini
yar bu dünya bana dar
aslında yokum
her şey bir illüzyon ve matrix doğruydu
gözümü kapattım gördüm doğruyu
tüm her şey sizin olsun ben buldum yolumu
kaç gemi battı kaç sefer öldüm
kaç kez kaybettim kaç beni öldürdüm
derde dürüldüm tenine gömüldüm
aşkın şarabından  deliye döndüm
kurumadı yaşı gözümün ah çeker dilim
kapalı bir kutu gibi meçhul halim
yanıyor bu içim ama yok şikayetim
yazarı bellidir o kitapta yazar halim
olamıyorum olmaya çalışıp da
dolamıyorum testi gibi su yolunda
kırılıyorum düşe kalka yolunda
yoruluyorum ama yılmıyorum
nereden geldim nereye gidiyorum
olduğum hale bin şükür ediyorum
aslında her şeyi tek tek görüyorum
yol sizin olsun ben o yolun ruhuyum
bilemem nereye bu gidişin sonu
yanıyo ciğerim atıyo kurşunu
evvelden adımı bilenler olduğu
i̇çin bu savaşa devam ediyorum
ve tırtıl sonunda kelebek oldu bak
yelkovan geceyi vurdu sabaha yan
kaç gemi battıkaç sefer öldüm
kaç kez kaybettimkaç beni öldürdüm
derde dürüldümtenine gömüldüm
aşkın şarabından  deliye döndüm
kaç gemi battı kaç sefer öldüm
kaç kez kaybettim kaç beni öldürdüm
derde dürüldüm tenine gömüldüm
aşkın şarabından deliye döndüm
",pop,0.07,0.27,0.11,0.03,0.03,0.0,0.0,0.03
715,Kahraman Deniz – Uzak Gelecek,"tüm anlamları ve cevapları bulmuşken
bilmem gerekeni bildiğimi sanıyordum
sen dünyaya küfürler saçıyorken
ben toplumcu şiirler yazıyordum
kendime bir söz vermiştim ve sözümde durdum
şimdi yalanlar var yamacımda
ben de az değilim ne dallara kondum
ama yuvam senin ağacında
vursam devirir miyim on adam
i̇lham da hüzün de bu havadan
bize bu acılar anadanbabadan kalmış sevgilim
yüzün aklıma geldi dün akşam
tek dal kalmıştı sigaradan
mutsuz hayatlar bize sıradan olmuş sevgilim
aslında uzak gelecekte
bir hamakta ve tek başımayken
dünyaya en iyi şarkımı susarak söyleyeceğim
kapına gelemem elde çiçekle
benim aram iyi börtüböcekle
seviyorsam bir çiçeği onu bahçeme ekeceğim
sana bir söz vermiştim ve sözümde durdum
olmak için doğduğuma dönüştüm
belki fazla değil ama yine de huzur buldum
gerekenden fazlasını bölüştüm
vursam devirir miyim on adam
i̇lham da hüzün de bu havadan
bize bu acılar anadanbabadan kalmış sevgilim
yüzün aklıma geldi dün akşam
tek dal kalmıştı sigaradan
mutsuz hayatlar bize sıradan olmuş sevgilim
",pop,0.06,0.19,0.09,0.06,0.08,0.0,0.01,0.03
716,Murat Dalkılıç – Kim Kafa Tutabilmiş Aşka,"seviyorsan söyle bence
yüzüne yüzüne
baka baka gözüne
resimlerine değil ama
bu defa kendisine
daha ne kadar atacak kalbin
i̇çine içine
çeke çeke içine
açıl artık en azından
bi şansını dene
yalnızsın sanma
i̇nan herkes aynı durumda
onlardan olma
gelme oyuna
bu nasıl hikaye bu nasıl hayat
yarısı ezber yarısı arak
kim kafa tutabilmiş aşka
olursa olur olmazsa bırak…
",pop,0.05,0.28,0.07,0.05,0.02,0.0,0.0,0.05
717,Soner Arıca – Bitmeyen Sevda,"kim ilaç olacak olmuyor işte
biten günün ardında yine yalnızlık
dokunmak istesem gel geç aşklara
her son aynı esaret aynı karanlık
bütün bir ömrümü gözden geçirdim
ufalandım bir yerlerde bazen elendim
her şeye rağmen yine birini seçseydim
gidenlerden beni yeniden aşkla saracak sen olurdun
seneler geçse bile üzerinden
vazgeçmez bu gönül vazgeçmez senden
yazdım silinmez yazılarla
silemezler seni yüreğimden
seneler geçse bile üzerinden
bitmeyen bir sevdasın derinimde
yazdım silinmez yazılarla
silinmez bir sevdasın yüreğimde
",pop,0.11,0.31,0.07,0.08,0.0,0.0,0.0,0.0
718,Bengü – Günaydın,"bir umutsun ne güzelsin
beni sevdin biliyorum
kalbim sana çarptı
heyecandan ölüyorum
yüzünü göreli içim açılalı
abayı yakalı derdim şifalı
dilimin ucunayüreğe yazılı
bilirim ikimiz de sevdalı
bi’ daha hisseder miyim diyordum böyle bir aşkı
uyanıp gündüze gülerek diyebilmekmiş günaydın
hele bi’ yanıma uzanıp uyu da uzaklar olur yakın
kötü günler geride kaldı artık güldü bana bahtım
",pop,0.05,0.24,0.1,0.15,0.03,0.02,0.02,0.08
719,Gökhan Türkmen – Sır,"hayalimde bir gemi
her şeyden uzak
dünyadan kaçabildiğim tek sığınak
yolcusu yok yolcusu çok
muamma işte
anla karnım tok
düşürdüm oyuncağımı yerlere
kimse buldu mu kimse gördü mü bilemem
uçurdum gemiyi her yere
gördüklerimi hiç kimselere söyleyemem
sır
sorma söylemem
sır
gelme beklemem
sır
bakma göremem
sır
sevme sevemem
dönemem gülemem
",pop,0.1,0.24,0.12,0.04,0.0,0.0,0.04,0.0
720,Yiğit Mahzuni – Sırası Değildi,"verdiğin sözünü tutamadın
gülüşün gözümde kaldı unutamadım
bu yağmurlar hayat vermez
kurumuş çiçeklere
soldu gönül bahçemde
yaşatamadım
sırası değildi seninle
yine ayrılıp olmanın el gibi
karası sürüldü kalbe
hiç inanmadım bittiğine sahi mi
arası açıldı benimle
yine gözümde kaldı hayal gibi
yarası dağıldı serde
yedi tüketti aşkımı sevgimi
",pop,0.04,0.29,0.0,0.1,0.0,0.0,0.02,0.0
721,Anıl Durmuş ft. Kutsal Kaan Bilgin – Dert III,"bu derdime bu gönlüme deva değil hiçbir gece
seni de beni de yakar bu dert inceden
sevmeli mi görmeli mi bu derdimi bilmeli mi
kıyıdan köşeden iki kelam etmedi
ah etmem durmaz kanar
dert içen diken sever
yorgunla yoldaş olan ağlar
ölmeli mi gülmeli mi
bu derdimi bilmeli mi
ölmeli mi gülmeli mi
bu derdimi…
kar olup dallardan sarkarak
uzanıyorum vadinin ilkbaharına
bir damla olup rüzgarın önünde
soğuk bir kaynak gibi
çiçeklere yağıyorum
çürüyorlar çevremde
bir bataklığı kuşatırcasına
ben hep ölümü düşünmek gibiyim
uçarcasına geçiyorum bütün cennetlerin
emin diye bilinen mekanlarından
bana göre değil çünkü sakin yürümek
sütunları devirip duvar altlarını oyuyorum
ta ağzına dalıyorum çağlayanların
ve dağlardan çığları yuvarlıyorum
ben günü bölen çan sesleri gibi
barışın ve mutluluğun yakasına yapışan
ve olgun tarladaki orakları andıran
o büyük dünya korkusunun çocuğuyum
ben hep ölümü düşünmek gibiyim
ah etmem durmaz kanar
dert içen diken sever
yorgunla yoldaş olan ağlar
ölmeli mi gülmeli mi
bu derdimi bilmeli mi
ölmeli mi gülmeli mi
bu derdimi…
",pop,0.04,0.2,0.11,0.05,0.04,0.0,0.08,0.0
722,Nahide Babashlı – Benim Hikayem,"kendime bir mezar kazarken buldum
mezarın içinde ben benim de içimde sen
düşünmekten ağlamaktan yoruldum
kalbimin içinde sen kalbinin dışından ben
nakarat
bu hikayede yanan ben oldum
bir gülüşe kanan ben oldum
suçlu sen değilsin benim aslında
her hatana susan ben oldum2x
yüreğimi yakan alevlerde boğuldum
alevin kendisi sen kendimin düşmanı ben
ateşin üstünü toprağımda soğuttum
soğuyan toprağım ben
toprağın içinde sen
nakarat
bu hikayede yanan ben oldum
bir gülüşe kanan ben oldum
suçlu sen değilsin benim aslında
her hatana susan ben oldum
",pop,0.07,0.13,0.12,0.04,0.01,0.0,0.0,0.01
723,Tuğçe Haşimoğlu – Sen Gibi,"i̇steğini karşılayamam
hislerimi sözle anlatamam
hayatına göz bağlamam sevgilim
içimde hayali yıkamam
gözyaşın akmasın kıyamam
okyanusum sensin dalamam sevgilim
ne senle ne sensiz yapabildi
ne yerde ne gökte bulabildi
bu kalp acıların tek adresidir
ne evde ne sokakta barınabildi
ne hasta ne de yasta bulunabildi
bu kalp gözyaşın tek sebebidir
ve sen gibi biri beni öldürüp öldürüp bitiriyor
duyguları talan ediyor uykularım ziyan oluyor
ve ben gibi biri bizi aşk sularında hep yürütüyor
tutkularım hiç değişmiyor kaygılarım hep yenileniyor
ve sen gibi biri beni öldürüp öldürüp bitiriyor
duyguları talan ediyor uykularım ziyan oluyor
ve ben gibi biri bizi aşk sularında hep yürütüyor
tutkularım hiç değişmiyor kaygılarım hep yenileniyor
",pop,0.03,0.24,0.08,0.12,0.05,0.0,0.0,0.01
724,Rauf – Yandım,"gidene yanıyorum
kalana bir çare
nankörü görüyorum
gönül hep avare
kalbimde yangın yeri
düşüyorum derde
gelip vursunlar beni
gözyaşlarım yerde
yak elinde ne varsa bir kenara bırak
üzülmeye değer mi
zaman çare değil kanayan yarama
akıl buna yeter mi
yandım ben allah’ım bende yandım
dünyanın dertleri biter mi sandım
yandım aman allah’ım bende yandım
dünyanın rengine nasıl inandım
",pop,0.1,0.28,0.05,0.05,0.0,0.02,0.05,0.0
725,Bora Duran – Başgan,"yeter ulan yeter artık kendimizi bulamadık
aklımızdan geçenleri bir türlü yapamadık
kalbimiz kurudu yoktan ölüyoruz yavaştan
bir mucize bekliyorum haydi bu gece başgan
bugün değilse ne zaman ateşi yakıyorum
dans edip yörüngende dönüp duruyorum
telefondan kafanı kaldırsan görürsün belki
bak karşında duruyor aradığın kişi
bir fırsat ver bekliyorum
beni görsen istiyorum
çok mu fazla oluyorum
üzme be bizi başgan
kafanı kaldırıp bana şöyle birazcık baksan
hayatın gerçeklerine okurum meydan
bugün değilse ne zaman ateşi yakıyorum
dans edip yörüngende dönüp duruyorum
telefondan kafanı kaldırsan görürsün belki
bak karşında duruyor aradığın kişi
gel kandili yakalım bu gece
hayrola ne oldu ki böyle bir acele
herkes kim bana söyle bir de hele
bırak konuşsunlar başgan
biz bize sofrayı kurarız
ortaya rakıyı da şarabı da koyarız
gelen ağam giden paşam
kim tutar bizi başkan
bugün değilse ne zaman ateşi yakıyorum
dans edip yörüngende dönüp duruyorum
telefondan kafanı kaldırsan görürsün belki
bak karşında duruyor aradığın kişi
",pop,0.1,0.28,0.07,0.09,0.03,0.03,0.01,0.02
726,Mustafa Sandal & Zeynep Bastık – Mod,"bi kere kırıldım
bi daha kurulmam
bozulup söküldüm
i̇çime içime
neler yaşattın
canımı yaktı çok
yine de üzülme
olurda derdime düşersen
dönemedim diye merak edersen
suçlayıp kendini avutma
başa dönüp kendimi savunmam
bi kere bu moda girdin mi
çıkamıyosun bi tanem
burda fazla durdun mu
utanıyosun aşktan
bi kere bu moda girdin mi
çıkamıyosun bi tanem
burda fazla kaldın mı
çekiniyosun aşktan
",pop,0.1,0.23,0.03,0.1,0.02,0.0,0.06,0.18
727,Pınar Süer Feat Heijan – Anne,"dün gece gördüm düşümde
seni özledim аnne
elin yine ellerimde
gözlerin аğlаmаklı
gözyаşlаrını sildim аnne
cаmlаr düştü yerlere
elim elim kаn içinde
yаnımа gel yаnımа аnne
i̇ki yаnımdа iki polis
ellerim kelepçede
beni bul beni bul аnne
cаmlаr düştü yerlere
elim elim kаn içinde
yаnımа gel yаnımа аnne
i̇ki yаnımdа iki polis
ellerim kelepçede
beni bul beni bul аnne
",pop,0.02,0.12,0.0,0.02,0.0,0.0,0.0,0.34
728,Oğuz Berkay Fidan – Kül,"diyorlar ki her gün karşılaştığımızda
nerede seninki diye
bir sürü martaval okuyorum hepsine
gerçeği diyemiyorum diye
fırtınalar sönmedi aramızdaki
gün geçtikçe artarak esti
bitmedi çile bitmedi bu azap
i̇kimizin arasındaki
sar beni gülüşünle al götür uzaklara
yak beni ateşinle kül olayım kül gözlerinde
",pop,0.11,0.23,0.07,0.05,0.02,0.0,0.0,0.02
